,Unnamed: 0,original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s,llama_prompt_n,mistral_prompt_n,memorability_n,llama_story,mistral_story,llama_use_s,mistral_use_s,llama_use_n,mistral_use_n
98,98,suggest you get facts before judging anyone,I've been judging people without knowing their true intentions.,you're wrong about that person,Suggest you get facts before judging anyone.,high,Have you considered going bankrupt with your new venture?,Tom: I think it's best if we keep our dogs separated in the garden from now on.,high,"Emily had heard that Jack's new business was failing, but she didn't know the details. She decided to talk to him about it at a party.","Tom and Lisa were long-time neighbors, but recently they had developed a disagreement over the use of a communal garden. Tom believed Lisa's dog was destroying the flowers, while Lisa argued her dog was just playing. Neither wanted to back down.",0.15971133,0.057013273,0.11087278,0.068802446
99,99,i am now officially a blackberry addict,have you ever tried to quit using BBM?,Have you tried the new Blackberry messenger features?,I am now officially a Blackberry addict.,high,How's your detox process going?,"Lisa: Hey Mike, I heard from Anne that she's having some financial problems. Would you be able to help her out?",high,"As she scrolled through her Blackberry messages, Emma noticed that her friend Alex was going through withdrawal. She had lent him hers the day before and he couldn't stop checking it for updates. Now, he was officially hooked.","Mike and Lisa were good friends since college days. They both had successful careers in tech industry but their free time was spent on their smartphones. Mike had recently purchased a new Blackberry and was spending long hours browsing the internet and sending messages. Lisa, sensing his obsession, planned to surprise him with a concern about an old friend.",0.44040257,0.46094853,0.09613576,0.07212283
100,100,have i mentioned how much i love houston traffic,I'm stuck in traffic on I-10,Have you seen the new art exhibit in town?,Have I mentioned how much I love Houston traffic?,high,Do you think we'll ever get out of this city's rush hour?,What's making you so happy in this traffic?,high,"Samantha was frustrated with her day as she was stuck in traffic. She finally arrived at the office and bumped into her coworker, Alex. They started chatting about their shared hatred for Houston traffic.","Mike and Sara were stuck in their cars during a heavy Houston traffic jam. Sara was frustrated and grumbling about the situation, but Mike seemed to be enjoying himself.",0.29542717,0.1270369,0.26066655,0.36946553
101,101,take what you can get,I'm running out of storage on my phone. Can I download more data?,"I found an old recipe book in the attic, do you want to take a look?",Take what you can get.,high,"You're still looking for a job, aren't you?",What's your best offer for the antique table?,high,"Samantha was excited to share her new job offer with Alex, but she knew he was struggling to find employment. Despite this, she decided to take what she could get.","Michael and Lisa were trying to sell their old furniture before moving. They had received various offers but were struggling to accept any as they hoped for better deals. Suddenly, a man appeared at their doorstep with an offer for their antique table. Michael and Lisa looked at each other in doubt.",0.19583263,0.09257701,0.105704576,0.1832729
102,102,should systems manage the migration,Are we ready to migrate our database infrastructure?,The EU is planning to move several IT systems to the cloud. Do you think we should outsource this task?,Should systems manage the migration?,high,I think we need a more streamlined approach for our international transfers.,"What's your opinion on how we should approach this transition, considering the complexities involved?",high,"As companies began to expand their workforce globally, they faced the challenge of relocating employees across borders. For this reason, Emma and Ryan were discussing whether their company's systems should manage the migration process.",Mark and Lisa are responsible for managing the IT infrastructure of their company during a period of transition. Should they automate the migration process or handle it manually?,0.40817422,0.44925958,0.20726293,0.12685615
103,103,shelley making good use of my jury duty time,How do you make the most of your jury duty time?,Have you finished reading 'To Kill a Mockingbird'?,Shelley (making good use of my jury duty time),low,Do you think we'll get a verdict today?,What's your recommendation for a new novel to read?,low,"Shelley was feeling anxious as she waited for the jury deliberation to resume. To pass the time, she took out her book and began reading. Across from her sat Jack, who was also making good use of his jury duty time.","Shelley sat on the jury bench, making good use of her time by catching up on emails. Across the room, Tom was deeply engrossed in a book.",0.3986794,0.17794043,0.10182074,0.19522965
104,104,i think that is the right answer,who painted the ceiling of the sistine chapel?,What is the capital city of France?,I think that is the right answer.,high,Do you really think your plan will work?,What do you think about investing our savings in this tech company?,high,"Sarah and Emily were discussing the best approach to solve their company's financial crisis. Sarah thought they should cut expenses immediately, but Emily believed that would harm employee morale. In the end, Emily convinced Sarah that her plan was better.","Tom and Lisa were trying to decide on the best investment for their savings. Tom suggested buying stocks in a tech company, while Lisa preferred investing in real estate.",0.20730475,0.23707467,0.06283435,0.15355569
105,105,next time ask jim to call me,Can you remind me what's on your schedule for tomorrow?,I need your expert advice on this legal matter.,Next time ask Jim to call me.,high,Why did you miss my call yesterday?,Is Jim the best person to speak with regarding that new project?,high,"Sarah had to ask John for help with her project, but he was out of town and not available. Next time she needed assistance, she wished she could have reached him.","Marta needed to discuss an important business matter with Tom. But Tom was currently unreachable, as he had asked Jim to contact him instead.",0.15690938,0.05426151,0.27763897,0.2788478
106,106,target customers munis wapa bpa,Why do companies prioritize customer segmentation?,Who are the primary utility companies in Pennsylvania?,"Target customers: Munis, Wapa, BPA.",low,How's the project coming along?,"Hey Lisa, have you had any recent success in expanding our customer base in the municipal sector?",low,"Munis, Wapa, and BPA were business partners who had been working on a new project for months. They finally met at the office to discuss its progress.","Mark and Lisa work for different utility companies targeting Municipalities, Water Authorities, and Power Administrations (Munis, Wapa, BPA) as their main customers. They were discussing the latest industry trends during their lunch break.",0.31574124,0.29671305,0.045534767,0.17287472
107,107,can i meet with you at 400,I need to discuss the project deadline with you,I need to discuss some important business matters with you.,Can I meet with you at 4:00?,low,Have you found a solution to your absence?,May I have a few minutes of your time later today to go over some project details?,low,"Sarah was concerned about her colleague, Alex, who had been absent from work for several days. She wanted to discuss the situation with him. However, Alex was in a meeting at his current location.","Tom has an important proposal to discuss with Lisa regarding their new project. However, she is currently in a training session and cannot be disturbed for long.",0.08695483,0.07238653,0.09556566,0.09369441
108,108,im glad you liked it,I just watched the new Marvel movie and I loved it!,I've finished reading your novel. What did you think of it?,I'm glad you liked it.,high,What do you think of my artwork?,May I show you something I made lately?,high,"Samantha had spent hours preparing for her art show, and finally the day had arrived. Rachel walked into the gallery, took one look at Samantha's work, and beamed with pride.",Sarah showed Tom a painting she had created during her art class. Tom was impressed and complimented her on her work. Sarah was glad she could share her passion with him.,0.17572862,0.26177835,0.17712285,0.02203273
109,109,ive never worked with her,Have you seen the latest project report from Sarah?,Have you met the new project manager?,I've never worked with her.,high,How do you approach team building in your projects?,"Hey Tom, I've been looking forward to working with you on this project.",high,Sarah and Tom were planning a new project at the office. Sarah had never worked with Tom before.,"Tom is the new project manager at Acme Inc. Michael, an experienced software engineer, has heard good things about Tom but they have never worked together before. Michael runs into Tom in the office kitchen.",0.1502431,0.23252407,0.178999,0.10789293
110,110,get with mary for format,What's the format for submitting my report?,Have you seen the new Mary Poppins movie yet?,Get with Mary for format.,high,Do you have time to help me with the school project?,Can we schedule a time to discuss the formatting details of our report?,high,"Mark was preparing for an important presentation at work and Jane wanted him to help her daughter Mary with the format of her school project. However, Mark's boss had called an unexpected meeting.",Mark and Lisa were working on a team project with their colleague Mary. They had to submit their report in a specific format. Mark realized they needed Mary's input for the final layout.,0.23580934,0.14850345,0.054485455,0.1497122
111,111,i hope you are feeling better,I've been feeling quite under the weather lately.,"I've been sick for days, do you think it's the flu?",I hope you are feeling better.,high,How's your workload been lately?,"Hey Tom, how are you feeling today?",high,Sarah had been struggling with her new job and was feeling overwhelmed. Her friend Emily wanted to check in on her. She hoped Sarah was doing better.,"Tom had been under the weather for a few days and his colleague, Lisa, noticed he hadn't been himself at work. She hoped he would recover soon.",0.14387766,0.3249443,0.1364835,0.26296246
112,112,im glad she likes her tree,Did Sarah finally get the new tree she was eyeing?,Sara showed her friend the garden they planted last week.,I'm glad she likes her tree.,high,How's the new place treating you?,Did Amelia mention anything about her cherished tree today?,high,Sarah had been worried about her friend Emily's recent move into a new home. She was thrilled to hear that Emily loved her new tree-lined backyard.,"Mark and Lisa had recently bought Amelia a beautiful cherry blossom tree for her birthday. They were delighted to see that she spent hours playing around it every day. One afternoon, Mark overheard Lisa praising Amelia's new favorite tree.",0.3252036,0.24295087,0.090381235,0.36280426
113,113,are you getting all the information you need,can you provide the details of my insurance policy?,I see you've ordered a new laptop.,Are you getting all the information you need?,high,What are our options for the party venue?,Can we confirm the number of guests for the party?,high,"Jane and Mark were trying to finalize the details of their daughter's birthday party. They needed to decide on a venue, but Jane was concerned about getting all the information she needed.","Tom and Lisa were planning a surprise party for their friend's birthday. They needed to finalize the guest list and decide on a venue. However, Michael was unreachable as he was in an important negotiation at work.",0.19038947,0.052879162,0.1303521,0.13008259
114,114,i would expect an answer asap,Are we on track to meet the deadline for the project?,Have you finished reviewing the financial reports for Q3?,I would expect an answer ASAP.,high,Did you receive my email about Mary's grades?,Can you give me an update on Tom's favorite foods and any dietary restrictions we should consider for the party?,high,Mark had been waiting for Jane's response to his email regarding their daughter Mary's school performance. He would expect an answer ASAP.,"John and Lisa were planning a surprise birthday party for their friend Tom. However, they needed to finalize the guest list and make last-minute arrangements. They contacted Tom's best friend, Mike, who they assumed would have all the necessary information.",0.110305145,0.14061785,0.15119985,0.14080198
115,115,i think your outlined measures sound fine,I've outlined some measures to reduce office noise and improve productivity. What do you think?,Have you considered implementing a two-step verification process for our company's email accounts?,I think your outlined measures sound fine.,high,Do you think we should revise our timeline?,"Sarah, what do you think about increasing our marketing budget by 10%?",high,"Sarah and Emily were discussing their project's progress. Sarah had outlined some measures to ensure its success, while Emily was skeptical. However, after reviewing the plan, Emily seemed convinced.","Mark and Lisa were discussing the budget for their upcoming project. They had agreed on most items but were still debating the allocation for marketing expenses. Sarah, their team member, entered the room with some new data.",0.23186752,0.12542236,0.089334875,0.13516635
116,116,did you talk to ava this morning,I need to know what's going on with the new project timeline.,I saw her reading Ava's diary this morning,Did you talk to Ava this morning?,high,Do you think we should see a specialist?,Why wasn't Tom at our usual morning meeting spot?,high,Jane and Mark were trying to decide whether to take their daughter Ava to the doctor. They had been putting off the visit for weeks.,"Tom and Lisa were planning a surprise birthday party for their mutual friend, Ava. However, Tom had forgotten to inform Lisa about the time of their morning meeting. When Lisa arrived at the cafe, she was surprised not to find Tom there.",0.06976341,0.22837833,0.10535764,0.24092074
117,117,we have lots of paper stuff,I'm stuck with all these forms to fill out,Do you have many documents or files to organize?,We have lots of paper stuff.,high,Do you think we'll find anything valuable up here?,Do we need to go through all these files right now?,high,John and Emily were going through old files in the attic. They found a lot of papers and documents that needed to be sorted out. John was frustrated with all the clutter and Emily started organizing the paper stuff.,John and Lisa were organizing their home office when they came across numerous folders filled with important documents. They realized that they had been accumulating paperwork for years.,0.060619265,0.3507181,0.11660455,0.090283155
118,118,we can discuss options early next week,can we discuss the project timeline early next week?,Shall we schedule a meeting to discuss the marketing strategy for Q3?,We can discuss options early next week.,high,How's your schedule looking this week?,What do you suggest we do about deciding on the kitchen countertops?,high,"Sarah was excited to discuss her job offer with Alex, who had been considering it for weeks. However, Alex was busy and promised to call Sarah soon to talk about the options.","Tom and Lisa are planning a home renovation project. They have several choices to make about the design and materials. However, they both have conflicting schedules and need more time to review their options.",0.2950518,0.27025688,0.22741011,0.24034536
119,119,its not looking too good is it,the news about the company's financial situation is really bad,Stock prices are dropping dramatically today.,It's not looking too good is it?,high,What do you think their chances are of selling within the next quarter?,The last quarter's sales figures are disappointing.,high,"The Smith's house was on the market for months, but they still hadn't received an offer. The real estate agent told them it might take some time to sell due to the economic downturn. It's not looking too good is it?","Mike and Lisa were examining the financial reports for their small business. The numbers showed a significant decrease in sales for the past quarter. Lisa looked concerned and said to Mike, 'What's going on here?'",0.105787285,0.09914601,0.12787722,0.08592475
120,120,has anyone else heard anything,did you hear about the surprise announcement?,Have you heard the latest news about the company merger?,Has anyone else heard anything?,high,Did you hear the latest news about our old neighborhood?,Have you heard anything from Tom lately?,high,"Jane wanted to tell Mark that the news report about their old neighborhood was disturbing. However, Mark was at work and engaged in a serious discussion.","Michael and Lisa were working on a project at the office. They had been trying to get in touch with their team member, Tom, about an important update but hadn't heard back from him. Other team members suggested checking with HR if Tom was on leave or if there were any issues with his employment status.",0.10673492,0.19649272,0.15015364,0.19895208
121,121,i went to see a doctor,I've been feeling really unwell lately,Have you felt unwell lately?,I went to see a doctor.,low,I've been trying everything at home but it seems like nothing is working.,"What have you been up to today, Lisa?",low,"Sarah was worried about her husband, John's, persistent cough. She decided to go see a doctor to get some advice on what to do.",Tom had been feeling unwell for several days and decided it was time to seek medical advice. He made an appointment with his doctor for later that afternoon.,0.1841341,0.25822717,0.05580363,0.2213496
122,122,ava la was socal meeting,How was your trip to California?,Did you attend the marketing conference in San Francisco last week?,"Ava, LA was Socal meeting.",low,Do you think you'll be able to get out of there soon?,Is the Socal branch open today? I'd like to go there to discuss some important matters.,low,"Ava and Lucas had planned to meet up for the weekend, but Lucas was stuck in a meeting with some important clients. Ava decided to wait for him outside the conference room.","Ava and Leo were supposed to meet at the Socal branch in Ava, LA for a business deal. But unexpectedly, a storm hit the area and forced Leo to postpone the meeting.",0.2937466,0.21132183,-0.0034783501,0.24188036
123,123,ill presume it is dead until i hear otherwise,Did you receive the package?,I found the fish you asked me to buy dead on arrival.,I'll presume it is dead until I hear otherwise.,low,Do you think we should report this to the authorities?,"Laura, have you heard anything about the loan application?",low,"As the days went by, Sarah grew more and more concerned about her missing brother, Jack. She had heard nothing from him since he left on his expedition into the wilderness. I'll presume it is dead until I hear otherwise.","Tom and Laura were trying to revive their dying business. They had applied for a new loan but hadn't heard back yet. In the meantime, they were struggling to keep things afloat. Laura received an unexpected call from Tom, who assumed the worst.",0.10609342,0.12724432,0.025206365,0.10765946
124,124,i just tracked down steve,Did you find Steve's address book?,Have you found out where Steve has gone for his vacation?,I just tracked down Steve.,high,What's going on with the project?,"Hey Steve, long time no see! I saw your post and it got me thinking about the good old days.",high,Sarah had been trying to reach John all day to discuss their project deadline. She was starting to get worried that he wasn't responding because he was avoiding her. I just tracked down Steve.,"Lisa had been searching for her old friend, Steve, for years after losing contact. One day, while browsing social media, she discovered a post tagging him in a photo from his recent vacation.",0.31842756,0.40294078,0.048869252,0.181481
125,125,what will happen to this project,The project deadline has been pushed back to next quarter,The budget for the project has been suddenly cut in half.,What will happen to this project?,high,Do you think we'll meet the deadline?,Do you have any updates on the project budget?,high,"The project deadline is approaching fast and Emma was worried about its completion. She wanted to discuss it with her colleague, Ryan, who was working on the design part. However, Ryan was preoccupied with a personal issue.","The project team was eagerly awaiting the outcome of their latest proposal. The CEO, however, had yet to make a decision and was consulting with the financial department.",0.19802243,0.1405693,0.0906109,0.26955172
126,126,mark ellenberg is off for passover,Is Mark Ellenberg off for the holiday?,Have you heard when Mark Ellenberg will be back from his religious vacation?,Mark Ellenberg is off for Passover.,low,Did you really manage to get hold of Mark?,"Hey Mark, I know you're off for a few days soon, do we need to catch up on anything before your break?",low,"Mark Ellenberg was planning a trip with his friends, but Sarah had been trying to schedule a meeting with him for weeks. She finally managed to get in touch with him and asked if they could meet up that afternoon.","Mark Ellenberg is a devoted family man who observes Passover every year. This year, the holiday falls during his usual work days. Jane, his colleague and friend, heard about his plans and wanted to discuss some work-related matters before he leaves.",0.44395566,0.42428282,0.1487855,0.2879185
127,127,i saw your 530 am message,did you forget to wake me up for my meeting?,Did you finish the report for tomorrow's meeting?,I saw your 5:30 AM message!,low,Do you have a minute to talk about the project?,"Good morning Lisa, I hope you are well. I wanted to share some thoughts on our project schedule.",low,"Alex wanted to discuss the project deadline with Ryan. However, Ryan was still asleep at 5:30 AM and hadn't checked his messages yet.","Michael had sent an important email to Lisa at 5:30 AM regarding their project's timeline. However, she was still asleep and only checked her emails upon waking up late in the morning.",0.23953304,0.17942399,0.07781223,0.15741532
128,128,i am snowed under and out of the office,Are you going to meet the deadline?,John hasn't responded to your email yet. Do you think we should follow up?,I am snowed under and out of the office.,high,Do you know when David will be back in the office?,"Hey Lisa, do you have a minute to discuss the new marketing strategy for the upcoming project?",high,"Emily was feeling overwhelmed with work and decided to take a break. However, she couldn't reach her colleague, David, who was snowed under and out of the office.",Tom and Lisa were both overwhelmed with work during the busy season. Tom had piles of reports to finish while Lisa had numerous client emails to respond to.,0.14463514,0.079777546,0.15842727,0.07457441
129,129,i plan to be in the office tomorrow,Will you be in the office tomorrow for our meeting?,Have you finalized the budget for next quarter?,I plan to be in the office tomorrow.,high,Is your work schedule looking clear this week?,"Hi Tom, do you have some time for a quick discussion about Project X tomorrow?",high,"Emily is excited for her son's birthday party on Saturday. However, Ryan will be busy with work and plan to be in the office tomorrow.","Anna was expecting an important package delivery at her office. She hoped to discuss some project details with Tom, who worked in the same building but had an unpredictable schedule. One day, she received a notification that he would be available the following day.",0.46968445,0.19494803,0.32224324,0.18730435
130,130,i am unavailable for the 1pm meeting,Can you confirm your availability for the 1PM meeting on Friday?,I've scheduled a meeting for us at 1PM tomorrow. Is that convenient for you?,I am unavailable for the 1PM meeting.,low,Is everything okay? You seem really focused right now.,"Hey Tom, could we discuss some ideas for the new marketing campaign?",low,"Sarah was excited to discuss the new project with her colleague, Alex. However, Alex had an unexpected task that required his immediate attention at 1PM.",Tom had an important deadline for his project and needed Lisa's feedback. But she was unexpectedly called into a last-minute meeting with the CEO at 1PM.,0.4700129,0.4484166,0.1303152,0.09547866
131,131,i am looking forward to the salad,I'm really excited for our lunch meeting tomorrow!,I'll make us a fresh salad for lunch today.,I am looking forward to the salad.,high,Do you know where we're going tonight?,What do you think about trying that new Italian place instead?,high,John was excited for his friend Emily's birthday party. He had planned an evening out with her to celebrate the special day. Emily loved trying new restaurants and John knew just the place.,"Michael and Lisa were making plans for their weekly dinner. Michael was excited to try out the new restaurant downtown that served fresh salads. Lisa agreed, mentioning how much she loved the taste of fresh greens.",0.21037965,0.3098142,0.18097946,0.21269171
132,132,were planning to go to west virginia for christmas,Have you guys decided on holiday plans yet?,Have you decided on your holiday destination for Christmas?,We're planning to go to West Virginia for Christmas.,low,Do you think we should make it a staycation or take a trip instead?,What about going somewhere warm for the holidays instead?,low,"Sarah had been looking forward to the holidays all year. She decided to invite her best friend, Emily, over for Christmas dinner, but then they came up with a better idea - going on a road trip together. They're planning to go to West Virginia for Christmas.",Tom and Lisa were discussing their holiday plans. They had not decided on a destination but were considering going to West Virginia for Christmas.,0.41318977,0.52223974,0.30351835,0.214528
133,133,is that eott or the company that owns it,what's the difference between EOTC and EOTT?,I just read an article about a new tech startup in Silicon Valley.,Is that EOTT or the company that owns it?,high,"So, should I expect to talk to Alex directly?",The email seems urgent. Shall I handle it?,high,"Sarah was excited to finally meet Alex, the CEO of EOTT, a leading company in the tech industry. However, she wasn't sure if she would be meeting Alex himself or one of his representatives.","Mark and Lisa were discussing the acquisition of a new business. Suddenly, Mark received an email with the subject line 'EOTT Renewal'. Lisa asked him to check if it was an important email from EOTT or if it was regarding the company that owned EOTT.",0.18027976,0.11957541,0.03913424,0.11264627
134,134,you can talk to becky,I've been having some issues with my insurance policy,I need help with a problem related to gardening.,You can talk to Becky!,high,Do you know who can advise me?,"I feel like I'm at a dead end, Lisa.",high,Jane was looking for someone to help her with some problems she had been having at work. She knew that Becky was an expert on the topic and was available to talk.,"Tom and Lisa were good friends. Tom had been going through a difficult time lately, dealing with the loss of his job. Lisa listened sympathetically but felt helpless in offering solutions. One day, as they sat together at their favorite café, Tom opened up about his frustrations.",0.090990126,0.09245908,0.050550252,0.06558364
135,135,i agreed terms with greg,Did you agree to the new terms and conditions?,Did you finish negotiating the deal with Greg?,I agreed terms with Greg.,high,What's our next step now that we've finalized the agreement?,Can I discuss the final details of the vase purchase with you?,high,"After discussing some business with Greg, Rachel and him agreed on the terms of their partnership. They were excited to start their new project together.","Greg and Lisa were negotiating the sale of an antique vase. Lisa was hesitant about the price, but Greg managed to convince her.",0.10447732,0.17014617,0.085682034,0.12392424
136,136,i am at the lake,are you having fun?,Have you gone to the lake where we used to have picnics?,I am at the lake.,high,Can I join you for a walk?,Is it still a good idea for us to go to the lake today?,high,Alex was feeling stressed and needed some time to clear his mind. He decided to take a break and visit Sarah at the lake.,"Michael and Lisa were planning a picnic by the lake. Michael had prepared sandwiches, while Lisa was in charge of the drinks. Suddenly, it started raining.",0.15882343,0.397317,0.13951138,0.38722655
137,137,i wish he would leave deerfield alone,Why did he move to Deerfield?,Susan mentioned she's moving to Boston.,I wish he would leave Deerfield alone.,high,Do you think our friend is doing anything to help the community?,May I ask where this week's gathering will be held?,high,Tom and Sarah had been arguing about their friend's recent behavior towards Deerfield. Tom was frustrated because he felt their friend was taking advantage of the small town. Sarah wished her friend would leave Deerfield alone.,"Sara and Tom lived in the quiet town of Deerfield. Tom had always been an outsider and Sara wished he would leave their peaceful community alone. However, every week he held a meeting at the local community center that attracted unwanted attention.",0.43212545,0.12753451,0.04364061,0.06640786
138,138,wednesday is definitely a hot chocolate day,"it's been a chilly week, don't you think?",I'm craving for something warm and cozy today.,Wednesday is definitely a hot chocolate day.,high,How's your day going so far?,Do you fancy making an exception and having our hot chocolate session tonight?,high,Sarah and Emily decided to take a break from their busy schedules on Wednesday. They met at the café and indulged in some hot chocolate to warm up.,"Amelia and Tom were looking forward to their weekly catch-up over a cup of hot chocolate. It was their tradition on Wednesday evenings to unwind after a long week. However, the past few days had been particularly chilly.",0.124534816,0.1378122,0.16045347,0.3424961
139,139,can you do the gallup contracts as well,Can you translate this contract from English to Spanish?,I've been asked to handle some new contracts.,Can you do the Gallup contracts as well?,high,How's it going with the booth setup?,"Hi Lisa, I understand Tom has been unwell lately. Could you perhaps help me out with the Gallup contracts for a while?",high,Emily and Ryan were discussing their marketing strategy for the upcoming conference. Emily was responsible for handling the speaking engagements while Ryan managed the booth arrangements.,"Tom and Lisa work on Gallup contracts for their company. One day, Tom falls ill and is unable to continue working on his projects. Lisa hears about this from their supervisor and is asked to take over Tom's tasks temporarily.",0.2837658,0.17084037,0.0064700544,0.3633396
140,140,thursday works better for me,Can you make it to our meeting on Wednesday?,Can we meet next week to discuss the project proposal?,Thursday works better for me.,high,Why is Friday not working out for you?,What day next week works for you?,high,"Sarah needed to discuss her project with Alex, but he was unavailable on Friday. She decided to try for Thursday instead.","Michael suggested that he and Lisa meet next week to discuss their shared project. However, she mentioned that Thursday would be best for her.",0.32355833,0.22828543,0.40880638,0.55344605
141,141,joel ephross on issues reacquiring economic interestsswaps from jedi2whitewing,The latest economic report suggests that the stock market will fluctuate wildly.,Have you heard about the recent financial negotiations between Joel Ephross and Jedi2/Whitewing?,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,low,Do you think this is a good idea?,What can you tell me about your recent dealings with Jedi2 and Whitewing?,low,"Joel Ephross was trying to reestablish his economic interests with Jedi2 and Whitewing. He had previously sold some shares, but now wanted to regain control of the companies. Joel's business partner, Rachel, was hesitant about the move.","Joel had been discussing potential business deals with the Jedi2 and Whitewing corporations. Suddenly, the economic interests of these companies in past swaps came under scrutiny. Jane, a journalist, wanted to delve deeper into this issue.",0.22696853,0.42990184,-0.007670196,0.08728907
142,142,chase back office and their restart plan updates individually,Can you provide the restart plan update for our project?,Have you received the latest updates from Chase's back office regarding their restart plan?,Chase back office and their restart plan updates individually.,low,How are the restart plans coming along?,"Hey Tom, do you have a moment to talk about our ongoing project?",low,"John and Emily were discussing the recent changes at their workplace. John was concerned about the impact on his team's workflow, while Emily was focusing on the restart plan updates for Chase back office.",Chase and their team were working on updating their restart plan individually when Sam approached Tom's desk. Sam wanted to discuss the progress of a project that relied on both their teams.,0.35391334,0.56969774,0.30772573,0.057573766
143,143,i am all over it,did you finish the project?,Have you finished preparing the marketing strategy for our new product?,I am all over it.,high,What's the plan for handling Emily's behavior?,What do you think about exploring this idea I heard at the conference?,high,"Jane and Mark were dealing with the consequences of their daughter, Emily, getting into trouble at school. Mark was trying to help Jane figure out what to do about it, but he was also worried about an important project deadline.","Tom and Lisa were working on a project for their company. They had hit a roadblock but Tom was confident they could find a solution. Lisa mentioned a potential idea she had heard about at a conference, but Tom was already exploring other options.",0.15554231,0.16190597,0.123069316,0.038505696
144,144,has your 4th quarter changed,Have you noticed any changes in the market trend recently?,I've just received my company's Q4 financial report.,Has your 4th quarter changed?,high,I've been thinking a lot about my future at the company.,"Lisa: I've got some exciting news about our sales for the 4th quarter, but you need to hear it now!",high,"After months of planning, Sarah was excited to share her new career goals with her colleague, Emily. However, Emily was still adjusting to the changes brought about by their company's 4th quarter restructuring.","John and Lisa were discussing their business performance for the year. With only a month left in the fiscal year, they wondered how their 4th quarter would impact their profits. Lisa had recently received some promising sales reports, while John was still reviewing the financial data.",0.1985756,0.2415776,0.036631986,0.15220913
145,145,i guess thats additive to my stretch,I'm feeling exhausted from my morning workout,Have you finished reading the new marketing report?,I guess that's additive to my stretch?,low,What's your secret to success?,What's the latest with your projects?,low,"After several months of struggling with his new job, Alex finally found some momentum and was getting ahead. His colleague, Ryan, noticed the change and asked if he had any advice on how to achieve similar results.","Mark and Lisa were discussing their work projects when Mark mentioned he had to take on an additional responsibility. Lisa, who was already swamped with her own tasks, replied that she also had some new assignments.",0.20330015,0.11751723,0.17366669,0.093575686
146,146,i think that we should enforce the agreement,have we been meeting these deadlines consistently?,The company's profits have significantly dropped recently.,I think that we should enforce the agreement.,low,Are we on track with our timeline?,"Lisa, do you have a moment to discuss our profit distribution? I've noticed some discrepancies in recent reports.",low,"Tom and Alex had been planning a project for months. Tom was excited about the progress they'd made, but he was worried that if they didn't stick to their plan, things could go wrong. He believed it was crucial to hold each other accountable.","John and Lisa were business partners who had recently made an agreement regarding the distribution of profits. However, John believed that Lisa had not been following the terms of the agreement.",0.111940555,0.04810725,0.059067845,0.076332316
147,147,i told you that you were a trouble maker,i know you're the one who started the fire at our school's library yesterday,I found your phone with an unknown number calling it repeatedly,I told you that you were a trouble maker!,low,Was that you who knocked over the vase?,"John, could you please wash the dishes before they start to rot?",low,"After a chaotic party at their friend's house, Sarah accused John of being a trouble maker. She said he had caused the mess and broken several items.","John and Lisa had been roommates for years. John was always leaving his dishes unwashed in the sink, despite Lisa reminding him multiple times. One day, Lisa reached her limit and exclaimed, 'You're unbelievably irresponsible!' John, with a smirk, replied, 'I told you that you were a trouble maker!'.",0.1447764,0.16880794,0.14486429,0.16490741
148,148,little value to the pipes,How do pipes affect the water pressure in the system?,Have you checked the water pressure in the old house?,Little value to the pipes.,high,Do you think it's worth investing time in repairing these pipes?,Do you think we should replace this old pipeline?,high,"The old pipes in the abandoned factory seemed to hold little value to the maintenance crew. They were rusty and clogged, causing frequent breakdowns. John, a young engineer, was tasked with assessing their condition. His colleague, Sarah, was skeptical of the project's importance.","John and Tom were inspecting the old farm. They came across a rusted section of pipe line. John suggested they replace it since it might cause problems in the future. Tom, however, saw little value to the pipes as they served no immediate purpose.",0.45839128,0.29964548,0.44786346,0.20285374
149,149,i have some more data coming,can you confirm the accuracy of these numbers?,Have you found any new sales figures for Q3?,I have some more data coming.,high,What did you find out about the inconsistencies?,"What do you think we should look for in the remaining data, Michael?",high,"Emma was analyzing the new data they received from the project and found some discrepancies. She couldn't wait to discuss it with Alex, who had been working on a similar analysis. However, Alex was in the middle of a crucial meeting.",Michael and Lisa were working on a research project together. They had analyzed the data they had collected but Michael believed that there was more to find. Lisa agreed and they started discussing their next steps.,0.07544359,0.20478815,0.08611263,0.17702523
150,150,we are about to leave heaven,are we there yet?,The gates of Heaven have opened!,We are about to leave Heaven!,high,What's the point of staying here?,What's causing that commotion?,high,"As they stood before the Pearly Gates, John turned to Emily with a mix of excitement and trepidation. They were about to embark on a journey that would take them away from the eternal bliss they had known in Heaven. With a deep breath, they prepared themselves for the unknown.","Angel1 and Angel2 were guardians of the pearly gates of Heaven, preparing for the arrival of the first souls. Suddenly, the ground beneath them shook as a bright light pierced through the heavens.",0.09214085,0.11845099,0.117438905,0.046004787
