,Unnamed: 0,original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s,llama_prompt_n,mistral_prompt_n,memorability_n,llama_use_s,mistral_use_s,llama_use_n,mistral_use_n
110,110,get with mary for format,What's the format for submitting my report?,Have you seen the new Mary Poppins movie yet?,Get with Mary for format.,high,Do you have time to help me with the school project?,Can we schedule a time to discuss the formatting details of our report?,high,0.23580934,0.14850345,0.037982676,0.14517726
111,111,i hope you are feeling better,I've been feeling quite under the weather lately.,"I've been sick for days, do you think it's the flu?",I hope you are feeling better.,high,How's your workload been lately?,"Hey Tom, how are you feeling today?",high,0.14387766,0.3249443,0.14702596,0.24631535
112,112,im glad she likes her tree,Did Sarah finally get the new tree she was eyeing?,Sara showed her friend the garden they planted last week.,I'm glad she likes her tree.,high,How's the new place treating you?,Did Amelia mention anything about her cherished tree today?,high,0.3252036,0.24295087,0.093410105,0.33906117
113,113,are you getting all the information you need,can you provide the details of my insurance policy?,I see you've ordered a new laptop.,Are you getting all the information you need?,high,What are our options for the party venue?,Can we confirm the number of guests for the party?,high,0.19038947,0.052879162,0.12749119,0.12533571
114,114,i would expect an answer asap,Are we on track to meet the deadline for the project?,Have you finished reviewing the financial reports for Q3?,I would expect an answer ASAP.,high,Did you receive my email about Mary's grades?,Can you give me an update on Tom's favorite foods and any dietary restrictions we should consider for the party?,high,0.110305145,0.14061785,0.14328903,0.14492106
115,115,i think your outlined measures sound fine,I've outlined some measures to reduce office noise and improve productivity. What do you think?,Have you considered implementing a two-step verification process for our company's email accounts?,I think your outlined measures sound fine.,high,Do you think we should revise our timeline?,"Sarah, what do you think about increasing our marketing budget by 10%?",high,0.23186752,0.12542236,0.088608265,0.13136183
116,116,did you talk to ava this morning,I need to know what's going on with the new project timeline.,I saw her reading Ava's diary this morning,Did you talk to Ava this morning?,high,Do you think we should see a specialist?,Why wasn't Tom at our usual morning meeting spot?,high,0.06976341,0.22837833,0.10596609,0.22162573
117,117,we have lots of paper stuff,I'm stuck with all these forms to fill out,Do you have many documents or files to organize?,We have lots of paper stuff.,high,Do you think we'll find anything valuable up here?,Do we need to go through all these files right now?,high,0.060619265,0.3507181,0.12211758,0.09230145
118,118,we can discuss options early next week,can we discuss the project timeline early next week?,Shall we schedule a meeting to discuss the marketing strategy for Q3?,We can discuss options early next week.,high,How's your schedule looking this week?,What do you suggest we do about deciding on the kitchen countertops?,high,0.2950518,0.27025688,0.23058897,0.22609302
119,119,its not looking too good is it,the news about the company's financial situation is really bad,Stock prices are dropping dramatically today.,It's not looking too good is it?,high,What do you think their chances are of selling within the next quarter?,The last quarter's sales figures are disappointing.,high,0.105787285,0.09914601,0.12564272,0.084272526
120,120,has anyone else heard anything,did you hear about the surprise announcement?,Have you heard the latest news about the company merger?,Has anyone else heard anything?,high,Did you hear the latest news about our old neighborhood?,Have you heard anything from Tom lately?,high,0.10673492,0.19649272,0.14172204,0.18413985
121,121,i went to see a doctor,I've been feeling really unwell lately,Have you felt unwell lately?,I went to see a doctor.,low,I've been trying everything at home but it seems like nothing is working.,"What have you been up to today, Lisa?",low,0.1841341,0.25822717,0.059140984,0.20663622
122,122,ava la was socal meeting,How was your trip to California?,Did you attend the marketing conference in San Francisco last week?,"Ava, LA was Socal meeting.",low,Do you think you'll be able to get out of there soon?,Is the Socal branch open today? I'd like to go there to discuss some important matters.,low,0.2937466,0.21132183,0.019871032,0.24256888
123,123,ill presume it is dead until i hear otherwise,Did you receive the package?,I found the fish you asked me to buy dead on arrival.,I'll presume it is dead until I hear otherwise.,low,Do you think we should report this to the authorities?,"Laura, have you heard anything about the loan application?",low,0.10609342,0.12724432,0.036713324,0.112854734
124,124,i just tracked down steve,Did you find Steve's address book?,Have you found out where Steve has gone for his vacation?,I just tracked down Steve.,high,What's going on with the project?,"Hey Steve, long time no see! I saw your post and it got me thinking about the good old days.",high,0.31842756,0.40294078,0.049484815,0.16830915
125,125,what will happen to this project,The project deadline has been pushed back to next quarter,The budget for the project has been suddenly cut in half.,What will happen to this project?,high,Do you think we'll meet the deadline?,Do you have any updates on the project budget?,high,0.19802243,0.1405693,0.088177174,0.2507961
126,126,mark ellenberg is off for passover,Is Mark Ellenberg off for the holiday?,Have you heard when Mark Ellenberg will be back from his religious vacation?,Mark Ellenberg is off for Passover.,low,Did you really manage to get hold of Mark?,"Hey Mark, I know you're off for a few days soon, do we need to catch up on anything before your break?",low,0.44395566,0.42428282,0.14610614,0.27846223
127,127,i saw your 530 am message,did you forget to wake me up for my meeting?,Did you finish the report for tomorrow's meeting?,I saw your 5:30 AM message!,low,Do you have a minute to talk about the project?,"Good morning Lisa, I hope you are well. I wanted to share some thoughts on our project schedule.",low,0.23953304,0.17942399,0.081456155,0.14882834
128,128,i am snowed under and out of the office,Are you going to meet the deadline?,John hasn't responded to your email yet. Do you think we should follow up?,I am snowed under and out of the office.,high,Do you know when David will be back in the office?,"Hey Lisa, do you have a minute to discuss the new marketing strategy for the upcoming project?",high,0.14463514,0.079777546,0.16151851,0.073748134
129,129,i plan to be in the office tomorrow,Will you be in the office tomorrow for our meeting?,Have you finalized the budget for next quarter?,I plan to be in the office tomorrow.,high,Is your work schedule looking clear this week?,"Hi Tom, do you have some time for a quick discussion about Project X tomorrow?",high,0.46968445,0.19494803,0.31498867,0.18527427
130,130,i am unavailable for the 1pm meeting,Can you confirm your availability for the 1PM meeting on Friday?,I've scheduled a meeting for us at 1PM tomorrow. Is that convenient for you?,I am unavailable for the 1PM meeting.,low,Is everything okay? You seem really focused right now.,"Hey Tom, could we discuss some ideas for the new marketing campaign?",low,0.4700129,0.4484166,0.1515408,0.09569661
131,131,i am looking forward to the salad,I'm really excited for our lunch meeting tomorrow!,I'll make us a fresh salad for lunch today.,I am looking forward to the salad.,high,Do you know where we're going tonight?,What do you think about trying that new Italian place instead?,high,0.21037965,0.3098142,0.1834336,0.20190883
132,132,were planning to go to west virginia for christmas,Have you guys decided on holiday plans yet?,Have you decided on your holiday destination for Christmas?,We're planning to go to West Virginia for Christmas.,low,Do you think we should make it a staycation or take a trip instead?,What about going somewhere warm for the holidays instead?,low,0.41318977,0.52223974,0.31100503,0.21295407
133,133,is that eott or the company that owns it,what's the difference between EOTC and EOTT?,I just read an article about a new tech startup in Silicon Valley.,Is that EOTT or the company that owns it?,high,"So, should I expect to talk to Alex directly?",The email seems urgent. Shall I handle it?,high,0.18027976,0.11957541,0.040072516,0.106955305
134,134,you can talk to becky,I've been having some issues with my insurance policy,I need help with a problem related to gardening.,You can talk to Becky!,high,Do you know who can advise me?,"I feel like I'm at a dead end, Lisa.",high,0.090990126,0.09245908,0.05112224,0.07335751
135,135,i agreed terms with greg,Did you agree to the new terms and conditions?,Did you finish negotiating the deal with Greg?,I agreed terms with Greg.,high,What's our next step now that we've finalized the agreement?,Can I discuss the final details of the vase purchase with you?,high,0.10447732,0.17014617,0.08081749,0.118536115
136,136,i am at the lake,are you having fun?,Have you gone to the lake where we used to have picnics?,I am at the lake.,high,Can I join you for a walk?,Is it still a good idea for us to go to the lake today?,high,0.15882343,0.397317,0.14719082,0.37567562
137,137,i wish he would leave deerfield alone,Why did he move to Deerfield?,Susan mentioned she's moving to Boston.,I wish he would leave Deerfield alone.,high,Do you think our friend is doing anything to help the community?,May I ask where this week's gathering will be held?,high,0.43212545,0.12753451,0.05154993,0.0666475
138,138,wednesday is definitely a hot chocolate day,"it's been a chilly week, don't you think?",I'm craving for something warm and cozy today.,Wednesday is definitely a hot chocolate day.,high,How's your day going so far?,Do you fancy making an exception and having our hot chocolate session tonight?,high,0.124534816,0.1378122,0.14400952,0.35604972
139,139,can you do the gallup contracts as well,Can you translate this contract from English to Spanish?,I've been asked to handle some new contracts.,Can you do the Gallup contracts as well?,high,How's it going with the booth setup?,"Hi Lisa, I understand Tom has been unwell lately. Could you perhaps help me out with the Gallup contracts for a while?",high,0.2837658,0.17084037,0.011296344,0.35397106
140,140,thursday works better for me,Can you make it to our meeting on Wednesday?,Can we meet next week to discuss the project proposal?,Thursday works better for me.,high,Why is Friday not working out for you?,What day next week works for you?,high,0.32355833,0.22828543,0.39049158,0.5430782
141,141,joel ephross on issues reacquiring economic interestsswaps from jedi2whitewing,The latest economic report suggests that the stock market will fluctuate wildly.,Have you heard about the recent financial negotiations between Joel Ephross and Jedi2/Whitewing?,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,low,Do you think this is a good idea?,What can you tell me about your recent dealings with Jedi2 and Whitewing?,low,0.22696853,0.42990184,-0.004042294,0.09042816
142,142,chase back office and their restart plan updates individually,Can you provide the restart plan update for our project?,Have you received the latest updates from Chase's back office regarding their restart plan?,Chase back office and their restart plan updates individually.,low,How are the restart plans coming along?,"Hey Tom, do you have a moment to talk about our ongoing project?",low,0.35391334,0.56969774,0.3125905,0.060538333
143,143,i am all over it,did you finish the project?,Have you finished preparing the marketing strategy for our new product?,I am all over it.,high,What's the plan for handling Emily's behavior?,What do you think about exploring this idea I heard at the conference?,high,0.15554231,0.16190597,0.12092672,0.04381054
144,144,has your 4th quarter changed,Have you noticed any changes in the market trend recently?,I've just received my company's Q4 financial report.,Has your 4th quarter changed?,high,I've been thinking a lot about my future at the company.,"Lisa: I've got some exciting news about our sales for the 4th quarter, but you need to hear it now!",high,0.1985756,0.2415776,0.038294163,0.14563346
145,145,i guess thats additive to my stretch,I'm feeling exhausted from my morning workout,Have you finished reading the new marketing report?,I guess that's additive to my stretch?,low,What's your secret to success?,What's the latest with your projects?,low,0.20330015,0.11751723,0.1713321,0.091463454
146,146,i think that we should enforce the agreement,have we been meeting these deadlines consistently?,The company's profits have significantly dropped recently.,I think that we should enforce the agreement.,low,Are we on track with our timeline?,"Lisa, do you have a moment to discuss our profit distribution? I've noticed some discrepancies in recent reports.",low,0.111940555,0.04810725,0.063524604,0.09266026
147,147,i told you that you were a trouble maker,i know you're the one who started the fire at our school's library yesterday,I found your phone with an unknown number calling it repeatedly,I told you that you were a trouble maker!,low,Was that you who knocked over the vase?,"John, could you please wash the dishes before they start to rot?",low,0.1447764,0.16880794,0.14443892,0.16102594
148,148,little value to the pipes,How do pipes affect the water pressure in the system?,Have you checked the water pressure in the old house?,Little value to the pipes.,high,Do you think it's worth investing time in repairing these pipes?,Do you think we should replace this old pipeline?,high,0.45839128,0.29964548,0.39122474,0.1936371
149,149,i have some more data coming,can you confirm the accuracy of these numbers?,Have you found any new sales figures for Q3?,I have some more data coming.,high,What did you find out about the inconsistencies?,"What do you think we should look for in the remaining data, Michael?",high,0.07544359,0.20478815,0.0759646,0.1483469
150,150,we are about to leave heaven,are we there yet?,The gates of Heaven have opened!,We are about to leave Heaven!,high,What's the point of staying here?,What's causing that commotion?,high,0.09214085,0.11845099,0.11475257,0.04743312
151,151,i am on my way,are you coming to meet me at the party tonight?,I need you to bring the blue folder from work.,I am on my way.,high,How's the traffic looking?,Is everything all right with your car? I'm concerned about our move-in date,high,0.30254778,0.09694323,0.1586156,0.15787092
152,152,do we need to discuss,can we discuss the project's timeline?,I've received an unexpected bill from the utility company.,Do we need to discuss?,high,Can I borrow your notes for the Johnson report?,Shall we have a look at our savings account and discuss where we can cut back?,high,0.12405979,0.14607736,0.10071609,0.16963358
153,153,i havent visited with stan lately,have you seen Stan's latest vacation pictures?,Have you seen John and Stan at the park recently?,I haven't visited with Stan lately.,high,How's your schedule looking this weekend?,Do you have some time for tea and reminiscence today?,high,0.35274494,0.35875648,0.14024721,0.1542019
154,154,or if he comes down i10n then,Have you seen the traffic report for I-10?,John will be arriving from the north. Which highway should I suggest he takes?,Or if he comes down I-10N then?,low,Do you think we can make it by 2 pm?,Which highway should we take for our road trip?,low,0.10504934,0.19286263,0.09613116,0.08023992
155,155,thanks for checking with me,Are we on schedule for the project deadline?,Have you finished the report on sales figures for Q3?,Thanks for checking with me.,high,What's your current deadline for this project?,Is this a good time to discuss the final arrangements for John's surprise party?,high,0.08869077,0.13480261,0.089343056,0.07863321
156,156,can you please review and get back to tim,can you please summarize the main points from the quarterly earnings report?,Tim made an error in the financial report for Q3.,Can you please review and get back to Tim?,high,How's the review going?,Can you take a quick look at the attached documents and give me your thoughts?,high,0.18921188,0.19441812,0.18942997,0.06301272
157,157,what is the stock price doing,The market is fluctuating wildly today,The NASDAQ index has reached an all-time high today.,What is the stock price doing?,high,The Dow Jones is really volatile lately,"The stocks have taken a hit today, haven't they?",high,0.15697044,0.23358575,0.2673378,0.28547853
158,158,this financing shows up as minority interest,Can you explain the ownership structure of our company's recent investment?,Have you checked the company's latest financial statement?,This financing shows up as minority interest.,low,How's our investment looking?,What can you tell me about this unusual financing entry in our report?,low,0.15666655,0.1303273,0.08943723,0.33743656
159,159,thank you for your call,How do you like the new phone I just bought?,I've found an important document in your office. Can you please identify its content?,Thank you for your call.,high,"I'm really concerned about Mary's grades, what do you think we should do?",I've been trying to reach you about my mother's condition in the hospital.,high,0.18002772,0.080475,0.13841061,0.14061779
160,160,can we have them until we move,Are we keeping the boxes of books until we move?,We need to pack most of our belongings soon. Can I keep the antique vases?,Can we have them until we move?,high,We should start packing the books soon.,Do you think we could borrow your garage for a few months?,high,0.3056993,0.28418884,0.16902405,0.21810266
161,161,on the plane doors closing,Are you boarding the flight already?,Have you checked if the plane's doors are closing?,"On the plane, doors closing.",high,Are we finally taking off?,Did you find my wallet in the seat pocket?,high,0.2407275,0.3199434,0.0602237,0.18714234
162,162,lisa mellencamp on any issues regarding pending litigation,Are we in compliance with all regulatory requirements?,Have you heard about the recent court ruling on privacy laws?,Lisa Mellencamp on any issues regarding pending litigation.,low,How are things going at the office?,"Hey Tom, have you had any recent updates on our marketing strategy?",low,0.11063535,0.1663624,0.12898037,0.04687919
163,163,ill catch up with you tomorrow,"I'm so excited about the upcoming concert, how are you preparing?","Hey, can we discuss the project proposal tomorrow?",I'll catch up with you tomorrow.,high,Do you think I'll have enough time to pack everything before we leave?,"Sarah: I've started packing some boxes, when can we start moving them?",high,0.13569906,0.15485328,0.1563065,0.19843985
164,164,have you done any deals yet,Have you received the sales reports yet?,"I've been in negotiations all day, how about you?",Have you done any deals yet?,high,I think I've got a plan that could really take off,"Hey Alex, how's that new client deal coming along?",high,0.23838742,0.20644173,0.0334505,0.10710102
165,165,what are you up to with vince,I heard Vince is in trouble with the authorities again,I just received an email from Vince about our project plans.,What are you up to with Vince,low,How did you manage to finish everything so quickly?,"Hi Tom, I saw you leaving the office early today. Anything new with the project?",low,0.3010745,0.22508717,0.04415681,0.16186602
166,166,the meteor shower was incredible last night,Did you get to see the meteor shower last night?,Did you get a chance to see the night sky last night?,The meteor shower was incredible last night.,low,Did you ever think we'd see something so breathtaking?,Did you see that shooting star?,low,0.6603904,0.5694396,0.293271,0.35313046
167,167,let me know where you might be,where are you going for your birthday celebration?,"I've lost my way in this maze of streets, can you help?",Let me know where you might be.,low,What's going on with you?,Can you remind me of the address for our meeting tomorrow?,low,0.19675714,0.12351222,0.041160434,0.22499606
168,168,ill let you know when i figure it out,can you figure out how to fix my computer?,I need help decoding this complex algorithm.,I'll let you know when I figure it out!,low,What's going on with your family?,What about next Saturday for the party?,low,0.15520549,0.15582584,0.14952528,0.106159106
169,169,would you mind doing the following,Can you please book a flight for me to London?,Can you please pass me the salt during dinner?,Would you mind doing the following?,high,Can I come over now to plan our itinerary?,Could you pick up some groceries for me on your way home?,high,0.25398242,0.13788107,0.2286921,0.27289823
170,170,dallas and i am not coming back,are you coming back from Dallas?,The Cowboys just won the Super Bowl!,Dallas and I am not coming back!,low,Why did you have to leave?,"I know we promised to come back soon, but is there any chance you two could delay your return by just a few days?",low,0.48067266,0.20426942,0.15587664,0.1798815
171,171,the socal meeting was very beneficial,How was your experience at the SoCal conference?,Have you gained valuable insights from the recent SoCal business conference?,The SoCal meeting was very beneficial.,low,Do you think we're making progress with Mary's education?,"Did you find the conference worthwhile, Lisa?",low,0.42689103,0.4139013,0.111922264,0.25169167
172,172,but i believe answer will be yes,are you free for dinner tonight?,Do you think I can pass the exam with just one more day of studying?,But I believe answer will be yes.,high,Do you think Sarah is prepared to handle the questions they'll ask?,Shall we invite John to the party?,high,0.19455852,0.21229582,0.21684846,0.17328952
173,173,we just need a sitter,Are you free to watch the kids tonight?,I heard you're having a babysitter issue.,We just need a sitter.,high,Do you think Mom would be able to cover us?,Do you know someone reliable who could look after the kids for a few hours?,high,0.25757483,0.16563874,0.102837496,0.32277817
174,174,is this the conference rate,is this a domestic call?,The Hilton Hotel is offering special discounts for their upcoming conference.,Is this the conference rate?,high,How much would it cost us if we booked the rooms at this time?,"The new conference rates have been announced, Lisa. What does your company decide to pay?",high,0.07141939,0.29310715,0.19130369,0.35673428
175,175,im not planning on doing anything this week,Are you planning on attending the music festival this weekend?,"Hey, what's your schedule looking like for the upcoming art exhibition?",I'm not planning on doing anything this week.,high,How's your schedule looking for the next few days?,"Hey Lisa, how's your week going?",high,0.3490175,0.26348826,0.2663137,0.14052184
176,176,this is good i think,Did you try that new restaurant downtown?,Have you tried the new Italian restaurant downtown?,This is good I think.,high,How did you find the food here?,Did you hear about the positive comments from our manager during today's meeting?,high,0.12876134,0.18476382,0.1107113,0.12153072
177,177,let me know how i can help,I just got a new job and I'm feeling overwhelmed with work,I can't seem to figure out how to use this app.,Let me know how I can help.,high,"I'm really overwhelmed with work, can you lend a hand?",Do you have any water or a phone I could use?,high,0.17073387,0.117437564,0.13404948,0.19699231
178,178,we can have wine and catch up,"haven't seen you in ages, how's life?",I've been thinking about old times and our shared memories.,We can have wine and catch up.,high,How has life been treating you?,"Hey Lisa, it's been ages! Do you have some time to chat later today?",high,0.18209347,0.053876955,0.15005454,0.15805376
179,179,dont they have some conflicts here,have you heard about the new movie releasing next week?,The stock prices of their rival companies are at an all-time low.,Don't they have some conflicts here?,high,How do you think we can make this project work?,I wanted to discuss the upcoming marketing budget for the next quarter.,high,0.107206486,0.15523611,0.03811799,0.037279088
180,180,can you get me the calger letter done,Can I get the Caltech letter done by tomorrow?,I need to submit the report by tomorrow,Can you get me the Calger letter done?,low,Are you almost finished with the documents I asked for?,Can I borrow your expertise to finish this report?,low,0.32239324,0.10171304,0.21339352,0.09602552
181,181,will let you know how call goes in morning,did you talk to the manager about my project?,I have an important business call in the morning.,Will let you know how call goes in morning.,low,Did you get a chance to talk to your boss yesterday?,How about we confirm the appointment time when you're free today?,low,0.17003696,0.12635592,0.22462317,0.27360272
182,182,he is at 281 350 8441,where can I reach John?,I need to contact John urgently.,He is at 281 350 8441.,low,Do you think he'll be able to help me with my emergency?,"Hi Tom, it's John. I've been thinking about the new project and wanted to touch base about some specifics.",low,0.15035869,0.14610957,0.005762741,0.027608057
183,183,trip was good i presume,just got back from our trip to Paris,I had an amazing experience at the new amusement park.,Trip was good I presume?,high,Do you think we'll still be meeting up as often?,"Did you enjoy the camping trip, Tom?",high,0.09588465,0.11315796,0.057538196,0.30102083
184,184,were those the only 2 changes,can you please review the updated report and let me know what changes need to be made?,I saw you made some adjustments to the marketing strategy report,Were those the only 2 changes?,low,"You've got some news on the Johnson account, I take it?",Do you think we'll need to make any more adjustments to our project plan?,low,0.05497408,0.09473996,0.037906144,0.09939415
185,185,we need to bring them along slowly,we need to discuss the company's marketing strategy,Let's introduce the new team members at the meeting today.,We need to bring them along slowly.,high,How can we ensure Sarah's success?,Shall we start with the beginner's trail for our first climb together?,high,0.088274844,0.06152495,0.17322278,0.1788888
186,186,in a meeting with your guys now,What's the current project status?,I need you to look into that urgent issue with the marketing team.,In a meeting with your guys now.,high,How's the new project progressing?,"Hey, Tom, I need those sales figures ASAP for our presentation tomorrow.",high,0.11215711,0.046146218,0.10504341,0.101108
187,187,how long can you guys shop,how long does it take to finish shopping?,Let's plan our weekend shopping trip to the mall.,How long can you guys shop?,high,"We have so much to buy, I don't think we can do all of this in one trip.","Hey Tom, I think we've been here long enough. Let's head back home now.",high,0.42846358,0.24373844,0.16212837,0.08746888
188,188,hopefully this can wait until monday,Can we discuss the Smith report before you leave on Friday?,I have an urgent work issue that I need to address now.,Hopefully this can wait until Monday.,high,Can you spare a few minutes to review the project timeline?,Is it possible for us to discuss some details about the proposal later tonight?,high,0.14127438,0.09584718,0.106031545,0.13260195
189,189,im fully recovered and back on pace,How was your weekend after being unwell?,"I've heard you've been under the weather lately, how are you feeling now?",I'm fully recovered and back on pace.,high,How's your recovery going?,"Hey John, I heard you were sick lately. How are you feeling these days?",high,0.3454458,0.3560859,0.3938477,0.31525415
190,190,i am not concerned with the brown money,Did the Brown family really fund the University of Oxford?,Have you heard about the recent financial scandal involving the Brown family?,I am not concerned with the Brown money.,high,Do you think this investment is worth my time?,Why don't we divide the Brown project profits equally between us?,high,0.3775815,0.39957657,0.08506738,0.3886887
191,191,no employment claims for gas or power,why are my electricity and water bills so high?,Have you received the energy bill yet?,No employment claims for gas or power.,high,Did you know that there's a problem with our energy bill?,Have any employees reported issues with the gas or power infrastructure recently?,high,0.26848957,0.28065425,0.17865632,0.42523843
192,192,we can work around these plans if you prefer,I was thinking we could change the meeting time to Friday,I'd like to change the meeting time due to unforeseen circumstances.,We can work around these plans if you prefer.,high,Do you think we can still meet on time?,What about we reschedule our European vacation to next year?,high,0.16820022,0.19474104,0.20974012,0.23337077
193,193,maybe you can leave early,"I'm running late for the meeting, can I make up some lost time?",Your flight has been cancelled.,Maybe you can leave early.,high,Is the project really that urgent?,Is it possible for us to reschedule our drive to the airport?,high,0.2853751,0.10058442,0.0546117,0.28978965
194,194,what happened with brent price,"Brent Price's presentation was really confusing, didn't you find it awkward?",I just received an unexpected email from Brent Price's work account.,What happened with Brent Price?,low,How's work going for you?,"Hi Tom, I've come across something unusual with one of our loan applications.",low,0.33457428,0.26522747,0.081210345,0.046867866
195,195,quick updates spoke with larry lawyer at egm,Have we settled the legal dispute yet?,Have you made any progress with the legal matter regarding the business merger?,Quick updates: spoke with Larry lawyer at EGM.,low,What did we need to cover in our discussion?,Have you made any progress on the partnership agreement?,low,0.1771467,0.22958477,0.048881076,0.18480602
196,196,mike are you aware of this,did you know that I lost my passport?,"Mike, have you read the latest research on neural machine translation?","Mike, are you aware of this?",high,Can we talk about this later?,"Tom, I've made some progress on our project, but I think we might have an issue",high,0.21763808,0.20765685,0.029797096,0.051562987
197,197,she has a web address,Who designed the World Wide Web?,I found her contact details on the company's website.,She has a web address.,high,Do you have any idea where our CEO's social media page is located?,Do you have a phone number where I can reach you directly?,high,0.21216512,0.20685618,0.2129954,0.23224019
198,198,you have a lot of holes in your plan,I think I've found the solution to my financial problems,I've calculated our company's budget for next year.,You have a lot of holes in your plan.,high,Do you think Sarah would like pizza or burgers?,Do you think we should send out invitations to everyone on Alex's email list?,high,0.06322074,0.09405106,0.17879197,0.16046712
199,199,did you not read my first email,Did you forget to send me the meeting details?,I saw John at the coffee shop this morning,Did you not read my first email?,high,Why didn't you double-check our travel arrangements?,"Hey Lisa, I just wanted to double check if we have a confirmed date for Tom's surprise party?",high,0.14010416,0.05473055,0.093888305,0.119225726
200,200,i was planning to attend,Will you be able to attend the meeting tomorrow?,Are you coming to the book club meeting on Sunday?,I was planning to attend.,high,Do you have any plans for the upcoming weekend?,"Hi Tom, I was looking forward to discussing 'To Kill a Mockingbird' with you all at the book club.",high,0.3556087,0.39775768,0.26897517,0.20817715
201,201,thank you for your prompt reply,How was your day so far?,I've made an appointment for us next week.,Thank you for your prompt reply.,high,Why is it taking so long for Mary to catch up?,"Hi Mark, I hope you're doing well. Did you have a chance to send those documents I requested?",high,0.16052976,0.07406083,0.112357974,0.15527764
202,202,can you wait until monday,I'm still waiting for the project report from you.,I need to discuss an important project with you,Can you wait until Monday?,high,Do you think I could get an update on your schedule?,Can I count on you to help me this weekend?,high,0.08780034,0.05656212,0.18160608,0.17141847
203,203,can you help me here,I'm having trouble with my internet connection. Can you help me here?,I've lost the key to the safe.,Can you help me here?,high,Do you think it will take long to fix my car?,Could you take a look at this error message I'm getting?,high,0.18186557,0.148473,0.13874996,0.08633988
204,204,i changed that in one prior draft,did you revise the chapter outline?,I noticed an inconsistency in the character development.,I changed that in one prior draft.,high,How's the review going?,What do you think about changing 'the project will be completed by Friday' to 'we anticipate completing the project by Friday' in your report?,high,0.1959296,0.04656946,0.06904854,0.21231869
205,205,what is the cost issue,can you order me the new iPhone 13?,"The price of the new iPhone model is quite high, don't you think?",What is the cost issue?,high,I think we're running behind schedule because of all the unexpected expenses.,"Hello, Mark, it's Lisa.",high,0.20495173,0.26253587,0.06891187,0.051729627
206,206,i will resend to you,can you resend the meeting invitation to my new phone number?,Can you remind me of the code for our online banking system?,I will resend to you.,high,Did you receive my previous email about the project?,Can I check if you have received the document I sent yesterday?,high,0.2967397,0.20283541,0.21482536,0.2747088
207,207,please send me an email,Can you please send me the contract details by tomorrow?,I forgot the details of our upcoming project meeting.,Please send me an email.,high,Did you get my message about the party plans?,What are your thoughts on our upcoming marketing campaign?,high,0.14109677,0.084024206,0.10739164,0.08735758
208,208,heres my work email kaymannenroncom,can you send me the quarterly earnings report?,I noticed you mentioned Enron in our last meeting. Could you please provide your work email?,Here's my work email (kay.mann@enron.com).,low,Can we talk about our project timeline?,What's the best way we can keep in touch about this deal outside of email?,low,0.22633363,0.30625182,0.068490595,0.18861544
209,209,is that enough for this week,can you prioritize the tasks for our project?,I have scheduled 10 meetings for you this week.,Is that enough for this week?,high,"We've completed the report, what's our schedule looking like?",Can we review the utility bills again?,high,0.15338598,0.1286435,0.14324759,0.13845441
210,210,probably wont have anything to tell late tonight,Do you think we'll have time to talk late tonight?,Have you heard the latest news about the political situation in Europe?,Probably won't have anything to tell late tonight.,high,How's your day been so far?,"Hey Lisa, is there a chance we can push back our dinner meeting tonight?",high,0.2540808,0.15926407,0.1883421,0.14297973
211,211,im in a meeting until noon,Are you free for lunch today?,Do you have time to discuss the project proposal this afternoon?,I'm in a meeting until noon.,high,Do you have time to talk about your new job?,"Hey Tom, do you have a few minutes to go over some project specifics before your conference call?",high,0.34259886,0.31284738,0.24495679,0.2528717
212,212,sorry but im hostage in meeting in 39c1,are you free to grab lunch today?,Have you finished preparing the report for the board meeting?,Sorry but I'm hostage in meeting in 39c1.,low,How's your day going so far?,"Sophie: Hey, where are you? I've just landed.",low,0.23602194,0.2196207,0.179872,0.11945608
213,213,please send it to both of us,can you please send the meeting minutes to both of us?,I found an important email with attachments for our project.,Please send it to both of us.,high,Have you received any confirmation from the travel agent yet?,Can you please forward me the contract so I can sign it?,high,0.18435822,0.1395559,0.15264517,0.13171086
214,214,issue on post bankruptcy price risk issue remains,Have you reviewed the post-bankruptcy financial reports?,Have you resolved the dispute regarding the post-bankruptcy pricing adjustments?,Issue on post bankruptcy price risk issue remains.,low,Do you think our investment will bounce back?,What do you think about setting a fixed price for our product line after bankruptcy?,low,0.20116484,0.23721452,0.19382513,0.4226477
215,215,we are on a plane coming back,Are we almost back in the country?,Have you landed yet?,We are on a plane coming back.,high,How many more hours until we land?,Did you remember to pack everything?,high,0.18301547,0.20325384,0.21462429,0.11138725
216,216,finally i would delete the paragraph about lawyers,I'm worried about the lawsuit against me. I've been searching for advice on how to handle it.,The legal documents are lengthy and complicated.,"Finally, I would delete the paragraph about lawyers.",high,What do you think we should focus on revising first?,Should we make a decision on the lawyers' inclusion now?,high,0.15966393,0.1853382,0.115085855,0.18646753
217,217,also regarding the cash flow from canada,Have you received the financial reports from Canada yet?,The sales from our Canadian branch have significantly improved.,"Also, regarding the cash flow from Canada.",high,Are we on track to meet our quarterly targets?,"Lisa, have we made any decisions on the potential investment in Europe yet?",high,0.34495676,0.21328294,0.06890798,0.15246524
