original_clean,llama_prompt_s,mistral_prompt_s,original,memorability_s
the meteor shower was incredible last night,Did you get to see the meteor shower last night?,Did you get a chance to see the night sky last night?,The meteor shower was incredible last night.,low
let me know where you might be,where are you going for your birthday celebration?,"I've lost my way in this maze of streets, can you help?",Let me know where you might be.,low
do you know anything,can you tell me the capital of Australia?,Have you heard about the latest Nobel Prize winner?,Do you know anything?,high
ill let you know when i figure it out,can you figure out how to fix my computer?,I need help decoding this complex algorithm.,I'll let you know when I figure it out!,low
would you mind doing the following,Can you please book a flight for me to London?,Can you please pass me the salt during dinner?,Would you mind doing the following?,high
dallas and i am not coming back,are you coming back from Dallas?,The Cowboys just won the Super Bowl!,Dallas and I am not coming back!,low
the socal meeting was very beneficial,How was your experience at the SoCal conference?,Have you gained valuable insights from the recent SoCal business conference?,The SoCal meeting was very beneficial.,low
but i believe answer will be yes,are you free for dinner tonight?,Do you think I can pass the exam with just one more day of studying?,But I believe answer will be yes.,high
tw of course,are we watching the game tonight?,Do you have the latest novel by J.K. Rowling?,TW of course.,high
let it rip,are you ready to hit the road?,I'm about to make an important decision.,Let it rip.,high
we just need a sitter,Are you free to watch the kids tonight?,I heard you're having a babysitter issue.,We just need a sitter.,high
we must be consistent,Can we trust the data if it's not constantly verified?,I always order the same meal at this restaurant.,We must be consistent.,high
did you tell steve,Did Steve tell you about the new project?,I saw him at the grocery store,Did you tell Steve?,high
she has absolutely everything,Have you seen Sarah's new mansion?,Did you hear about Maria's new job and promotion?,She has absolutely everything.,high
is this the conference rate,is this a domestic call?,The Hilton Hotel is offering special discounts for their upcoming conference.,Is this the conference rate?,high
im not planning on doing anything this week,Are you planning on attending the music festival this weekend?,"Hey, what's your schedule looking like for the upcoming art exhibition?",I'm not planning on doing anything this week.,high
she just came,who just walked in?,I see Susan's car in the driveway.,She just came.,high
this is good i think,Did you try that new restaurant downtown?,Have you tried the new Italian restaurant downtown?,This is good I think.,high
it is not surprising,the new employee's skills and experience are quite surprising.,Did you hear about the new research on artificial intelligence?,It is not surprising.,high
let me know how i can help,I just got a new job and I'm feeling overwhelmed with work,I can't seem to figure out how to use this app.,Let me know how I can help.,high
we can have wine and catch up,"haven't seen you in ages, how's life?",I've been thinking about old times and our shared memories.,We can have wine and catch up.,high
dont they have some conflicts here,have you heard about the new movie releasing next week?,The stock prices of their rival companies are at an all-time low.,Don't they have some conflicts here?,high
can you get me the calger letter done,Can I get the Caltech letter done by tomorrow?,I need to submit the report by tomorrow,Can you get me the Calger letter done?,low
no obligation to pay,are you sure you can afford that dinner?,I'll send you the invoice for the project next week.,No obligation to pay.,high
money wise that is,are you free to grab lunch today?,Have you checked the latest stock market trends?,Money wise that is.,high
will let you know how call goes in morning,did you talk to the manager about my project?,I have an important business call in the morning.,Will let you know how call goes in morning.,low
he is at 281 350 8441,where can I reach John?,I need to contact John urgently.,He is at 281 350 8441.,low
trip was good i presume,just got back from our trip to Paris,I had an amazing experience at the new amusement park.,Trip was good I presume?,high
what is wrong,I'm feeling really down today and I don't know why,I can't seem to access my account,What is wrong?,high
were those the only 2 changes,can you please review the updated report and let me know what changes need to be made?,I saw you made some adjustments to the marketing strategy report,Were those the only 2 changes?,low
we need to bring them along slowly,we need to discuss the company's marketing strategy,Let's introduce the new team members at the meeting today.,We need to bring them along slowly.,high
just got this,Have you received the package yet?,Did you receive the latest company report?,Just got this.,high
get with david lund,Why did David Lund just quit his job?,I need advice on my garden,Get with David Lund.,high
weather is bad here,Is it raining outside?,I hope you're not planning to go out today,Weather is bad here.,high
where are you,where are you meeting me for lunch?,I'm at the red traffic light near the city hall.,Where are you?,high
in a meeting with your guys now,What's the current project status?,I need you to look into that urgent issue with the marketing team.,In a meeting with your guys now.,high
how long can you guys shop,how long does it take to finish shopping?,Let's plan our weekend shopping trip to the mall.,How long can you guys shop?,high
thanks good job,"I just finished that report, what do you think?",Your presentation was excellent.,Thanks good job.,high
hopefully this can wait until monday,Can we discuss the Smith report before you leave on Friday?,I have an urgent work issue that I need to address now.,Hopefully this can wait until Monday.,high
im fully recovered and back on pace,How was your weekend after being unwell?,"I've heard you've been under the weather lately, how are you feeling now?",I'm fully recovered and back on pace.,high
i am not concerned with the brown money,Did the Brown family really fund the University of Oxford?,Have you heard about the recent financial scandal involving the Brown family?,I am not concerned with the Brown money.,high
no employment claims for gas or power,why are my electricity and water bills so high?,Have you received the energy bill yet?,No employment claims for gas or power.,high
on my way back,"I'm waiting at the airport, how much longer until you arrive?",Have you finished the report on the Q1 sales?,On my way back.,high
we can work around these plans if you prefer,I was thinking we could change the meeting time to Friday,I'd like to change the meeting time due to unforeseen circumstances.,We can work around these plans if you prefer.,high
i am freaking out,I just got the results of my medical test and it shows I have a rare disease,Have you seen the news about the plane crash?,I am freaking out!,high
maybe you can leave early,"I'm running late for the meeting, can I make up some lost time?",Your flight has been cancelled.,Maybe you can leave early.,high
what happened with brent price,"Brent Price's presentation was really confusing, didn't you find it awkward?",I just received an unexpected email from Brent Price's work account.,What happened with Brent Price?,low
why do you ask,why did my best friend move to another city?,"I see you've changed your phone number, why do you ask?",Why do you ask?,high
quick updates spoke with larry lawyer at egm,Have we settled the legal dispute yet?,Have you made any progress with the legal matter regarding the business merger?,Quick updates: spoke with Larry lawyer at EGM.,low
i love you too,Will you be mine forever?,You look beautiful today,I love you too.,high
mike are you aware of this,did you know that I lost my passport?,"Mike, have you read the latest research on neural machine translation?","Mike, are you aware of this?",high
rosco was great,how was your weekend at Rosco's restaurant?,Did you enjoy the movie last night?,Rosco was great.,high
she has a web address,Who designed the World Wide Web?,I found her contact details on the company's website.,She has a web address.,high
you have a lot of holes in your plan,I think I've found the solution to my financial problems,I've calculated our company's budget for next year.,You have a lot of holes in your plan.,high
did you not read my first email,Did you forget to send me the meeting details?,I saw John at the coffee shop this morning,Did you not read my first email?,high
i was planning to attend,Will you be able to attend the meeting tomorrow?,Are you coming to the book club meeting on Sunday?,I was planning to attend.,high
that would be great,Are you free for our meeting tomorrow?,Can we meet at the usual place tomorrow?,That would be great.,high
thank you for your prompt reply,How was your day so far?,I've made an appointment for us next week.,Thank you for your prompt reply.,high
can you wait until monday,I'm still waiting for the project report from you.,I need to discuss an important project with you,Can you wait until Monday?,high
can you help me here,I'm having trouble with my internet connection. Can you help me here?,I've lost the key to the safe.,Can you help me here?,high
i changed that in one prior draft,did you revise the chapter outline?,I noticed an inconsistency in the character development.,I changed that in one prior draft.,high
probably will be working,are you available for our meeting tomorrow?,Do you have plans for the upcoming company event?,Probably will be working.,high
what is the cost issue,can you order me the new iPhone 13?,"The price of the new iPhone model is quite high, don't you think?",What is the cost issue?,high
i will resend to you,can you resend the meeting invitation to my new phone number?,Can you remind me of the code for our online banking system?,I will resend to you.,high
please send me an email,Can you please send me the contract details by tomorrow?,I forgot the details of our upcoming project meeting.,Please send me an email.,high
what a jerk,Why did you leave your dirty socks on the kitchen counter?,Why would you do something so thoughtless?,What a jerk.,high
heres my work email kaymannenroncom,can you send me the quarterly earnings report?,I noticed you mentioned Enron in our last meeting. Could you please provide your work email?,Here's my work email (kay.mann@enron.com).,low
is that enough for this week,can you prioritize the tasks for our project?,I have scheduled 10 meetings for you this week.,Is that enough for this week?,high
probably wont have anything to tell late tonight,Do you think we'll have time to talk late tonight?,Have you heard the latest news about the political situation in Europe?,Probably won't have anything to tell late tonight.,high
im in a meeting until noon,Are you free for lunch today?,Do you have time to discuss the project proposal this afternoon?,I'm in a meeting until noon.,high
sorry but im hostage in meeting in 39c1,are you free to grab lunch today?,Have you finished preparing the report for the board meeting?,Sorry but I'm hostage in meeting in 39c1.,low
please send it to both of us,can you please send the meeting minutes to both of us?,I found an important email with attachments for our project.,Please send it to both of us.,high
issue on post bankruptcy price risk issue remains,Have you reviewed the post-bankruptcy financial reports?,Have you resolved the dispute regarding the post-bankruptcy pricing adjustments?,Issue on post bankruptcy price risk issue remains.,low
we are on a plane coming back,Are we almost back in the country?,Have you landed yet?,We are on a plane coming back.,high
finally i would delete the paragraph about lawyers,I'm worried about the lawsuit against me. I've been searching for advice on how to handle it.,The legal documents are lengthy and complicated.,"Finally, I would delete the paragraph about lawyers.",high
also regarding the cash flow from canada,Have you received the financial reports from Canada yet?,The sales from our Canadian branch have significantly improved.,"Also, regarding the cash flow from Canada.",high
i am sorry you had to come in,I'm so upset because I just found out my car was towed from the parking garage at work.,I found a key in your coat pocket,I am sorry you had to come in.,high
ben could tell him about pompano,Can you recommend a good spot for lunch near the beach?,Have you heard about the best fish dish at the new restaurant?,Ben could tell him about Pompano.,high
what enron entity owns the eott gp,What is the primary generator that produces electricity from natural gas in North America?,Do you know which Enron entity manages the EOTT investments?,What Enron entity owns the EOTT GP?,low
i agree with morris,I think we should prioritize team-building activities.,The data analysis Morris presented at the meeting was quite compelling.,I agree with Morris,low
i agree with morris,I think we should prioritize team-building activities.,The data analysis Morris presented at the meeting was quite compelling.,I agree with Morris,low
let me know when you get this,Did you remember to pack my bag for the trip tomorrow?,I need you to bring the blue folder from the office.,Let me know when you get this.,high
i wanted to go drinking with you,are you free tonight?,Do you fancy trying that new bar down the road?,I wanted to go drinking with you.,high
no material impact,Did the company's recent decision have any material consequences on its financial reports?,Do you think the new policy will affect our sales figures significantly?,No material impact.,high
we dont seem to have any positive income there,We are facing financial difficulties.,I checked our sales report for last month,We don't seem to have any positive income there.,high
i will be back friday,Are you attending the team meeting on Friday?,Do you have plans for next week?,I will be back Friday.,high
two days when,When will we meet again?,I'll be free to meet next week on Monday or Thursday.,Two days when?,high
please make sure bob kelley is on the list,is Bob Kelley attending the conference?,Let's discuss the attendees for the marketing strategy meeting.,Please make sure Bob Kelley is on the list.,high
its not working very well,can you hear me now?,Have you tried updating the app recently?,It's not working very well.,high
i agree with jim,I think the meeting should be rescheduled for next week.,Jim suggested we should use his new marketing strategy.,I agree with Jim.,low
let him pursue his claims with everyone else,Have you ever encountered someone with an unproven claim?,He insists that he is the rightful heir to the throne.,Let him pursue his claims with everyone else.,low
if not can i call you,Are you free to meet up tomorrow?,"I've lost my way, can you give me directions?",If not can I call you?,high
we are still in palacios having a quiet am,Where are we having lunch today?,Did you receive the email about our plans for this weekend?,"We are still in Palacios, having a quiet AM.",low
no to both,am i going to the concert tonight?,Do you have the latest version of our project proposal?,No to both.,high
i also just received my blackberry cool,"I just got my new smartphone, what do you think?",Have you received your new work phone yet?,"I also just received my Blackberry, cool.",low
do you still need me to sign something,I need you to sign the new contract before 5pm today,I need you to bring your ID for verification at the bank.,Do you still need me to sign something?,high
i will be checking up with lisa,How's Lisa doing after the surgery?,Have you spoken to Mark about the project's deadline?,I will be checking up with Lisa.,high
i will likely not be available,can you make it to my birthday party tomorrow?,Do you have time for a quick call tonight?,I will likely not be available.,high
im on 6,What's the best way to get there?,"Meet me at the usual spot, what number should I dial?",I'm on 6.,high
ill meet you at bill sperrys office at 1230,Where are we meeting for the project discussion today?,Let's discuss the Bill Sperry project proposals at his office today.,I'll meet you at Bill Sperry's office at 12:30.,low
got here early,are you ready to meet at the movie theater?,I hope you'll be on time for our meeting at the park,Got here early.,high
how can we get these answers,What do I need to know about quantum entanglement?,The stock market has been volatile lately. Which indices have shown the greatest gains?,How can we get these answers?,high
got your message,did you receive my package yet?,Have you received the package I sent?,Got your message.,high
whats your proposal,Are you coming to the conference on Friday?,I suggest we meet at the park next Saturday.,What's your proposal?,high
can we meet at 330,Are you free to meet today?,I'd like to discuss the project timeline.,Can we meet at 3:30?,high
both of us are still here,are you still in the meeting?,Have you received my email about the meeting tomorrow?,Both of us are still here.,high
did you send out a global message from me,did you receive the message i just sent?,I just noticed an unusual email activity from your account.,Did you send out a global message from me?,high
not even in yet,are you even watching the game?,Have you started the new project at work?,Not even in yet.,high
see you then,Can I see you at 5 pm today?,"I'll bring the chips for our movie night, right?",See you then,high
see you then,Can I see you at 5 pm today?,"I'll bring the chips for our movie night, right?",See you then,high
the rest is a byproduct of slapshot,can you explain the concept of entropy?,Have you analyzed the hockey team's power play strategies yet?,The rest is a byproduct of slapshot.,high
any interest in chatting about a job at ubs,How's the job market in Zurich?,I heard UBS is hiring for new positions,Any interest in chatting about a job at UBS?,low
1  number of questions on this,are we still on for the weekend?,How many mathematical problems do you have for me to solve?,1 - number of questions on this.,low
how soon do you need it,can you send me the updated project report by tomorrow?,I need the report completed for the board meeting tomorrow.,How soon do you need it?,high
how are things with you,I'm stuck in traffic and I'm going to be late for work,I've just received great news from my doctor,How are things with you?,high
sent to 8,are you free to meet up at 7pm today?,Have you received the package from the courier?,Sent to 8,low
message is getting through,is the message I sent earlier received?,Can you understand the instructions for assembling this bookshelf?,Message is getting through.,high
john can you give konni a call,Did John's mother call today?,I heard Konni mentioned in the news today,"John, can you give Konni a call?",high
i left a message,did you record the meeting?,Have you finished preparing the report for tomorrow's meeting?,I left a message.,high
i want per mmbtu,Are you aware of the current energy market trends?,Have you received the order for 1000 cubic meters of natural gas?,I want per MMBTU.,high
i guess this is ok if you are,can I crash at your place tonight?,Do you think we should go with the red or blue design for the website?,I guess this is OK if you are.,high
i am not aware of any,is the new moon visible in the city tonight?,Have you received the latest company financial report?,I am not aware of any.,high
perhaps there was a glitch,did the conference registration system fail again today?,The stock market numbers seem odd today.,Perhaps there was a glitch.,high
what number should he call you on,I just got the new job and I'm excited to start working with you,"I've found an old phone number in my contacts, let's make sure it's still yours.",What number should he call you on?,high
geez i sound pathetic,I've been feeling really down lately and I don't know why,"You seem really down today, what's bothering you?","Geez, I sound pathetic.",high
we havent sold the us business as yet,are we prepared to list the US subsidiary?,Have you made any decisions about the US division's future?,We haven't sold the US business as yet.,low
ava do we need to worry about this,have you seen the forecast for tonight?,The stock market has experienced a significant drop today.,"Ava, do we need to worry about this?",high
are you feeling better,I just took my medication and I'm starting to feel a little better,I had a terrible headache this morning,Are you feeling better?,high
you have a nice holiday too,I just returned from an amazing beach holiday!,I'm enjoying the sunny weather on my vacation in Bali,You have a nice holiday too.,high
we need to talk about this month,why are my credit card payments overdue?,You haven't paid rent this month.,We need to talk about this month.,high
how is it going,how's your flight to London going?,I've completed the project you assigned me last week,How is it going?,high
what about jay,Did you know that the new employee is not getting along with the team?,Susan mentioned she saw Jay at the park yesterday.,What about Jay?,high
i tried that to no avail,"I'm struggling to fix my computer, have you tried troubleshooting the BIOS?",Have you tried restarting your computer?,I tried that to no avail.,high
thats not the behavior that i was looking for,I'm frustrated with the new employee's lack of communication skills,I promised to help you move next Saturday,That's not the behavior that I was looking for.,low
i was trying to remember what bobby said,what did bobby say to us last weekend?,Did Bobby mention the details of his grandma's old house?,I was trying to remember what Bobby said.,high
im quite interested as i told lyn,What are your plans for the weekend?,Have you heard about the latest research in quantum physics?,I'm quite interested as I told Lyn.,low
how do you like the blackberry,"I'm considering buying a new smartphone, do you have any experience with Blackberry phones?",Have you tried the new Blackberry pie at the local bakery?,How do you like the Blackberry?,low
we are waiting on the cold front,The weather forecast says we'll have a heatwave next week. Is it really going to be that hot?,Have you checked the weather forecast for the upcoming event?,We are waiting on the cold front.,high
ken agreed yesterday,Did Ken agree to meet us at the conference?,Did Ken approve the marketing budget for next quarter?,Ken agreed yesterday.,high
neil has been asking around,What's the latest rumour about Neil Armstrong?,Have you heard who won the Nobel Prize in Chemistry this year?,Neil has been asking around.,high
we are having fun,Are we having the best day ever?,Let's make some popcorn and watch a movie.,We are having fun.,high
tried to call but couldnt reach you,are you free to talk on sunday?,I'll call you during lunch.,Tried to call but couldn't reach you.,high
not a problem,can you help me find the nearest pharmacy?,Can you bring the milk from the store on your way home?,Not a problem.,high
call me tonight 7139736325,Are you free to grab dinner tonight?,"I've found an old number in my contacts, do you know who it belongs to?",Call me tonight 7139736325.,low
maybe michael will go to quil tomorrow,Is Michael going to Quil tomorrow?,Do you think Quil's workshop might be held on Thursday instead of Wednesday?,Maybe Michael will go to Quil tomorrow.,low
we sold the uk business to aep,Did we finally complete the AEP deal?,I heard rumors of a major business deal. What's the latest?,We sold the UK business to AEP.,low
the master agreement references the trading business,What are the key terms for our international trade agreement?,Have you reviewed the terms of the new business contract?,The master agreement references the trading business.,low
are we ready for this on monday,Have you finished preparing the presentation for Monday?,We have an important project deadline coming up on Monday.,Are we ready for this on Monday?,high
as you know it isnt easy,Have you ever felt like giving up on your dreams?,You've been promoted to a manager role.,"As you know, it isn't easy.",low
go to 16,where did you leave the car keys?,"I've lost my way in this maze of streets, can you help?",Go to 16.,high
can you remember,where did we last meet?,What did we order for dinner last Tuesday?,Can you remember?,high
i compliment you,"You've been looking at that project proposal for hours, haven't you?",Your new hairstyle looks amazing,I compliment you?,high
are you available,can we meet up at 5pm today?,Can we discuss the details of the project meeting tomorrow?,Are you available?,high
lets wait until monday,Can I get the new project details by Monday?,Have you received the important email from HR?,Let's wait until Monday.,high
are you on the diet with me,I've been craving something sweet all day,I've decided to cut out sugar completely from my diet.,Are you on the diet with me?,high
that would likely be an expensive option,Can we charter a private jet for our upcoming vacation?,I heard about a new phone model with diamond encrusted buttons.,That would likely be an expensive option.,high
good for you,I just got accepted into my dream college!,You finally got promoted!,Good for you.,high
i have forwarded to kelly,I just got the latest report from John.,Have you received the latest project proposal from HR?,I have forwarded to Kelly.,high
board meeting running long,How's the board meeting going?,Have you finished preparing the financial reports for next quarter?,Board meeting running long.,high
have a great day,I'm so excited for my summer vacation tomorrow!,I appreciate your help with my project,Have a great day!,high
when do we review with el paso,We need to finalize our report before meeting with El Paso's team.,We need to finalize the plans for next quarter's business trips.,When do we review with El Paso?,high
i just had my head in the clouds,Have you ever felt like you're stuck in neutral?,Have you seen the Northern Lights lately?,I just had my head in the clouds.,high
would you have john send me a message,I think John's new car is really impressive,John mentioned he'd contact you about the project plan,Would you have John send me a message?,high
how are things,How was your weekend?,I've just received great news from my doctor.,How are things?,high
where are they hitting the books at,where are they studying for exams?,I've heard they're studying at the library,Where are they hitting the books at?,high
your voice cheered me up,"I'm feeling down today, what's your favorite song to lift my mood?","You look down in the dumps today, care to talk about it?",Your voice cheered me up.,high
meeting with alaska governor tony knowles on november 30th,Are you attending the upcoming conference?,Have you arranged any meetings with notable political figures in the near future?,Meeting with Alaska Governor Tony Knowles on November 30th.,low
coal switching to ng and power guys stimulating demand,Will the US Energy Transition be driven by coal or natural gas?,Have you heard about the shift from coal to natural gas in the power sector?,Coal switching to NG and power guys stimulating demand.,low
have a happy thanksgiving,What are your plans for Thanksgiving dinner?,Let's talk about your favorite Thanksgiving dish,Have a Happy Thanksgiving.,low
we will keep you posted,When will the new product launch?,Have you made a decision about the new project yet?,We will keep you posted.,high
do we have anyone in portland,we're looking for someone in the western states,Let's plan our next business trip.,Do we have anyone in Portland?,high
no surprise there,the boss's favourite coffee shop has been closed due to health issues.,John always forgets important deadlines.,No surprise there.,high
if not i can try information in omaha,Can you find the information I need in the Omaha records?,I need the latest stock prices for Omaha's leading tech companies.,"If not, I can try information in Omaha.",low
it went well,Did you attend the meeting yesterday?,Did the interview go smoothly?,It went well.,high
we are sitting in weils offices waiting to negotiate,Can we finalize the merger talks today?,Let's meet at Weil's offices to discuss the deal terms.,"We are sitting in Weil's offices, waiting to negotiate.",low
hope you guys are doing fine,How was your trip to the beach yesterday?,I've heard the new restaurant down the street is excellent.,Hope you guys are doing fine.,high
are you going to call,Are you going to call me back after the meeting?,Do you have the meeting details for tomorrow?,Are you going to call?,high
did that happen,I just saw the funniest video of you trying to cook dinner!,I saw a shooting star last night,Did that happen?,high
they have to go away and have a think,are you struggling with the new project?,Your constant negativity is bringing down the team morale.,They have to go away and have a think.,high
i would be glad to participate,can you help me with my project?,I'd like to organize a charity event. Can you help?,I would be glad to participate.,high
this is all so unreal,Have you ever woken up in a hospital bed with no memory of who you are?,Did you really win the lottery?,This is all so unreal.,high
will give you more shortly,can you give me the exact date of your last appointment?,Have you finished analyzing the customer feedback reports?,Will give you more shortly.,high
sorry for the delay,"I'm running late for our meeting, what's the hold up?",I'll be there in five minutes.,Sorry for the delay.,high
had a great meeting,Did you get the proposal approved today?,I heard you had some important discussions at the marketing team's strategy session.,Had a great meeting.,high
what level of detail do you need,What are the safety precautions to take while hiking in the Appalachian Mountains?,I'm considering buying a used car. Which model should I choose?,What level of detail do you need?,high
send to me,can you send me the link to that article?,Can you remind me of the code to unlock my phone?,Send to me.,high
i know trey and cam will be there,Have you confirmed the team's attendance at the party?,I heard Trey and Cam are organizing the event next week.,I know Trey and Cam will be there.,low
please stay on top of the security issue,have you checked the latest security patch?,I received a suspicious email at work.,Please stay on top of the security issue.,high
if possible id like to get amys opinion,Have you seen the new movie trailer?,Do you think we should invite Tom to the party?,"If possible, I'd like to get Amy's opinion.",low
aig has agreed capital call not due until monday,When do I expect the call from AIG regarding the capital investment?,Have you received the latest financial update from AIG?,AIG has agreed capital call not due until Monday.,low
have we assigned employees to netco,Have we finalized the project plan for NetCo?,Let's check our current project assignments.,Have we assigned employees to NetCo?,low
am i getting a good package,I just received your birthday gift and I'm excited to give it to you!,I heard you're getting a subscription box,Am I getting a good package?,high
we went to palacios to fish,Did we have a good time on our last fishing trip?,Have you been to Palacios recently for fishing?,We went to Palacios to fish.,low
hope all is well,How was your meeting with the CEO?,I've been thinking about our project plans lately.,Hope all is well.,high
i worked on the grade level promotion,are you done with the grade level project?,Have you been working on your department's annual budget?,I worked on the grade level promotion.,high
the party at aa is roger willard,Who is the host for tonight's gathering?,"I heard you were organizing a party at AA, who is hosting it?",The party at AA is Roger Willard.,high
i have a request,What's the meaning behind your latest tattoo?,Can you help me find the best Italian restaurant in town?,I have a request.,high
better than most recently,Are you looking forward to the weekend?,Have you tried the new Italian restaurant downtown?,Better than most recently.,high
youre the greatest,you've made my day so much brighter with your presence,You've been an amazing friend to me.,You're the greatest.,high
what is this,I'm receiving strange signals from an unknown location on my radar,I've found an old map in the attic,What is this?,high
travis is in charge,Did our boss assign the project to Travis?,Who will be leading the project team?,Travis is in charge.,high
can you handle,I am overwhelmed with work and responsibilities,"You're an AI tool, can you understand complex literature?",Can you handle?,high
will call when i leave,Are you almost here?,Do you know when the train usually arrives at the station?,Will call when I leave.,low
through this account cash flows to corporate,can you transfer money to my account?,Have you received the company's latest financial report?,Through this account cash flows to corporate.,high
fyi i saw ken caminiti at animal kingdom yesterday,Have you ever seen Ken Caminiti at Animal Kingdom?,Did you go to Animal Kingdom over the weekend?,FYI I saw Ken Caminiti at Animal Kingdom yesterday!,low
i dont know that i will be back monday,Are you going to make it back to the office on Monday?,Do you have plans for next week?,I don't know that I will be back Monday.,low
um no sir,Have you ever seen an elephant fly?,Do you understand the mathematical concept of differential calculus?,"Um, no sir.",high
what do you think about tracy and jim,Tracy and Jim are having an affair. Do you think they'll get caught?,I just saw Tracy and Jim arguing at the park.,What do you think about Tracy and Jim?,high
are you in a good mood,I'm so excited for the concert tonight!,I've received good news today,Are you in a good mood?,high
can you help get this cleared up,can we settle the outstanding bill today?,The instructions for setting up the new software are unclear.,Can you help get this cleared up?,high
i have a high level in my office,can you send me the latest sales report?,Do you have a important meeting in your office soon?,I have a high level in my office.,high
i havent had a conversation on this since 1999,have you ever heard of the phrase 'I haven't had a conversation on this since 1999'?,Have we discussed the latest advancements in AI technology?,I haven't had a conversation on this since 1999.,high
thanks i will,Can you remind me what's for dinner tonight?,Have you finished preparing the presentation for tomorrow's meeting?,Thanks I will.,high
im working on a liquidity forecast,Can you explain the current financial situation?,Have you reviewed the latest cash flow report?,I'm working on a liquidity forecast.,high
if we dont get it could be trouble,The project deadline is nearing and we're still working on the final draft.,The stock market has seen record highs recently.,"If we don't get it, could be trouble.",high
did you set up my corporate account for me,Can you help me with my corporate finance?,I've completed the registration process for your new business account.,Did you set up my corporate account for me?,high
are you being a baby,"I'm so frustrated with my phone bill, I just got hit with a huge fine for missing a payment.",I can't figure out how to use this app.,Are you being a baby?,high
did you get this,I've been waiting for you at the coffee shop,I've prepared a detailed presentation for our meeting tomorrow,Did you get this?,high
maybe traffic will be light on thursday,are you planning to drive to work on Thursday?,Do you think we can make it to the meeting on time if we leave at 4 pm?,Maybe traffic will be light on Thursday.,high
mike is putting pressure on me,How's your day going with the project deadline approaching?,Mike asked us to meet at the office tomorrow at 9 am.,Mike is putting pressure on me.,high
kind of like silent fireworks,Did you ever feel like you're just going through the motions?,Have you ever seen the rain forest at night?,Kind of like silent fireworks.,high
can you get with mary and make sure,did you get the invitation to John's birthday party?,I need to discuss some important matters with Mary. Can you arrange a meeting?,Can you get with Mary and make sure?,high
where are you dsm boy,I'm stuck in traffic on the highway,I see the sun setting over the lake.,Where are you DSM boy?,high
she has the game tomorrow,What game does Sarah have scheduled for the weekend?,Do you know when Emily's soccer team plays next?,She has the game tomorrow.,high
im on a plane,are you already at the airport?,Do you know which city I'll be arriving at soon?,I'm on a plane.,high
florida is great,Have you ever thought about visiting Miami during winter?,Have you been to Florida recently and enjoyed it?,Florida is great.,high
i sent it to her,did you send the file to your manager?,Did Bob receive the package from the post office?,I sent it to her.,high
i will call,"I'll be late for our meeting, can we reschedule?",Have you found my lost keys?,I will call.,high
remember blackberry doesnt work so well at home,i'm having trouble accessing the company's email server,I'm having trouble sending messages at home.,Remember blackberry doesn't work so well at home.,high
please revise accordingly,can you revise the meeting schedule for tomorrow?,Your presentation needs improvement on the data analysis section.,Please revise accordingly.,high
i think afraid of mass exodus,Are you worried about the impending economic crisis?,Have you heard about the potential economic crisis in neighboring countries?,I think afraid of mass exodus.,high
on call with sp now,What's the status of our pending project?,Have you checked the latest financial news from S&P?,On call with S&P now.,high
could you see where this stands,can you confirm the meeting schedule?,Have you finished the report on Q3 sales?,Could you see where this stands?,high
sorry for the unfriendly greeting in the lobby,Why did you ignore me at the conference yesterday?,I noticed you looked unfriendly in the lobby today.,Sorry for the unfriendly greeting in the lobby.,high
yes i like perfume,have you tried the new perfume by Chanel?,Have you tried the new rose scent perfume?,Yes I like perfume.,high
im going to class,I'm running late for my 8am lecture,Do you have a class on physics today?,I'm going to class.,high
see you on the third,When do you want to meet for dinner?,Let's meet for lunch tomorrow at the usual place.,See you on the third.,high
did we get ours back,Have you seen our keys?,I found our lost wallet on the street,Did we get ours back?,high
diane has info from littler on its proposed training,What are the details of Littler's proposed training for Diane?,Have you received any updates from Littler about their upcoming training sessions?,Diane has info from Littler on its proposed training.,low
do you have a number for him,Can you please reach out to John for me?,I need to call my friend's father urgently.,Do you have a number for him?,high
youre right  typo,are you free for dinner tonight?,I see you misspelled 'definitely' as 'deffinitely' in your last email.,You're right - typo,low
what is up with ene,ENE is not responding to my calls,Have you heard the latest news about ENE's new project?,What is up with ENE?,high
ill call you in the morning,How's your day going?,Do you have the latest project report?,I'll call you in the morning.,high
can talk about 1 more if needed,Did you finish the project on Friday?,"I've heard great things about your new project, care to tell me more?",Can talk about 1 more if needed.,low
are you sure,did i really just spend 100 dollars on lunch?,"You forgot your umbrella, didn't you?",Are you sure?,high
go for the dollars,Is the company going to give us a bonus?,The stock market just hit an all-time high. What should we do?,Go for the dollars.,high
i do wish i knew,have you ever felt completely lost in the vastness of space?,Do you know the combination to my safe?,I do wish I knew.,low
3  true,have you ever felt completely lost in the city?,"The weather today is quite unpredictable, isn't it?",3 - true.,low
she was leaving omaha for houston at 400,When did the flight leave?,Have you heard about the woman's flight plans?,She was leaving Omaha for Houston at 4:00.,low
i didnt think we had,I've been thinking about our last vacation,Do you have the latest report from marketing?,I didn't think we had.,low
sorry about that,I just spilled coffee all over my new shirt!,I've accidentally deleted your important email.,Sorry about that!,high
i have a doctors appointment for 1100 on tuesday,Are you free on Tuesday?,Do you have any important appointments coming up?,I have a doctor's appointment for 11:00 on Tuesday.,low
do you need to be there,I'm thinking of skipping the meeting today,I need to check the sales figures for next quarter.,Do you need to be there?,high
