original_clean,Unnamed: 0,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score,memorability_score_1,memorability_score_2,final_leiva_memscore,llm_mem,memorability_leiva
yes i did,408,did you just eat the last slice of pizza?,Yes I did.,8,1,Did you finish the report on global warming?,Yes I did.,8,2,Yes I did.,7,high,1.0,3,low,low,high,low,high,high,1.8,1.4,12.7980197,12.7980197,12.7980197,8.0,high
i told you that you were a trouble maker,410,i know you're the one who started the fire at our school's library yesterday,I told you that you were a trouble maker!,8,2,I found your phone with an unknown number calling it repeatedly,I told you that you were a trouble maker!,5,2,I told you that you were a trouble maker!,3,low,4.0,9,medium,high,low,high,low,low,2.2,2.2,16.109479999999998,16.109479999999998,16.109479999999998,6.5,low
little value to the pipes,412,How do pipes affect the water pressure in the system?,Little value to the pipes.,6,3,Have you checked the water pressure in the old house?,Little value to the pipes.,5,2,Little value to the pipes.,7,high,2.0,5,medium,low,low,high,low,low,1.4,1.4,13.1909191,13.1909191,13.1909191,5.5,high
what is the mood,415,I'm feeling so down today,What is the mood?,8,1,"The weather today is quite unpredictable, what is the mood?",What is the mood?,10,2,What is the mood?,8,high,-3.0,4,low,medium,low,high,low,medium,2.2,1.4,12.0601551,12.0601551,12.0601551,9.0,high
i have some more data coming,417,can you confirm the accuracy of these numbers?,I have some more data coming.,4,2,Have you found any new sales figures for Q3?,I have some more data coming.,9,2,I have some more data coming.,7,high,2.0,6,low,low,low,low,low,low,1.0,1.0,13.3994913,13.3994913,13.3994913,6.5,high
i thought so,418,did you really forget our anniversary?,I thought so.,8,1,Do you think the new project will require extensive coding?,I thought so.,8,2,I thought so.,7,high,1.0,3,low,low,low,high,low,high,2.2,1.0,12.2229645,12.2229645,12.2229645,8.0,high
try to survive,427,Are you prepared for the apocalypse?,Try to survive!,8,3,"The storm is coming, what should we do?",Try to survive!,10,2,Try to survive!,3,low,1.0,3,low,low,low,high,low,low,1.4,1.0,15.4718295,15.4718295,15.4718295,9.0,low
i am on my way,431,are you coming to meet me at the party tonight?,I am on my way.,8,1,I need you to bring the blue folder from work.,I am on my way.,8,2,I am on my way.,8,high,2.0,5,low,high,medium,low,low,medium,2.2,2.0,11.9063705,11.9063705,11.9063705,8.0,high
just playing with you,435,are you busy today?,Just playing with you!,8,1,Do you believe in ghosts?,Just playing with you!,10,2,Just playing with you!,9,high,3.0,4,low,low,low,high,low,low,1.4,1.0,13.29035,13.29035,13.29035,9.0,high
or if he comes down i10n then,446,Have you seen the traffic report for I-10?,Or if he comes down I-10N then?,7,3,John will be arriving from the north. Which highway should I suggest he takes?,Or if he comes down I-10N then?,7,2,Or if he comes down I-10N then?,2,low,3.0,7,low,high,medium,high,low,low,2.2,2.0,17.91026755,17.91026755,17.91026755,7.0,low
thanks for checking with me,447,Are we on schedule for the project deadline?,Thanks for checking with me.,8,1,Have you finished the report on sales figures for Q3?,Thanks for checking with me.,9,2,Thanks for checking with me.,8,high,2.0,5,low,medium,medium,low,low,low,1.4,1.6,13.6391555,13.6391555,13.6391555,8.5,high
this is very sensitive,448,can you keep my deepest secret?,This is very sensitive.,8,3,I've found some confidential files on your computer.,This is very sensitive.,5,3,This is very sensitive.,9,high,4.0,4,medium,high,medium,high,high,medium,2.6,2.4,13.478109,13.478109,13.478109,6.5,high
what is the stock price doing,450,The market is fluctuating wildly today,What is the stock price doing?,8,2,The NASDAQ index has reached an all-time high today.,What is the stock price doing?,8,2,What is the stock price doing?,7,high,2.0,6,high,medium,high,medium,low,medium,2.0,2.6,13.6634004,13.6634004,13.6634004,8.0,high
this financing shows up as minority interest,451,Can you explain the ownership structure of our company's recent investment?,This financing shows up as minority interest.,6,2,Have you checked the company's latest financial statement?,This financing shows up as minority interest.,3,2,This financing shows up as minority interest.,3,low,12.0,7,low,medium,low,medium,low,medium,2.0,1.4,15.9546154,15.9546154,15.9546154,4.5,low
thank you for your call,452,How do you like the new phone I just bought?,Thank you for your call.,0,2,I've found an important document in your office. Can you please identify its content?,Thank you for bringing it to my attention.,8,2,Thank you for your call.,7,high,0.0,5,low,low,low,high,low,low,1.4,1.0,-1.0,13.00477,13.00477,4.0,high
what did mark say,456,Did Mark say something about the meeting?,What did Mark say?,8,2,Mark mentioned the details of his new project at the meeting today.,What did Mark say?,8,2,What did Mark say?,7,high,0.0,4,medium,high,medium,low,high,medium,2.2,2.4,13.0966,13.0966,13.0966,8.0,high
lisa mellencamp on any issues regarding pending litigation,457,Are we in compliance with all regulatory requirements?,Lisa Mellencamp on any issues regarding pending litigation.,4,3,Have you heard about the recent court ruling on privacy laws?,Lisa Mellencamp on any issues regarding pending litigation.,5,3,Lisa Mellencamp on any issues regarding pending litigation.,2,low,13.0,8,low,high,medium,high,low,low,2.2,2.0,18.4305641,18.4305641,18.4305641,4.5,low
are you in today,460,"I'm running late for school today, why did the bus break down?",Are you in today?,6,2,I'll be at the office if you need anything,Are you in today?,10,1,Are you in today?,9,high,1.0,4,medium,low,medium,high,medium,low,1.4,1.6,12.5677645,12.5677645,12.5677645,8.0,high
the meteor shower was incredible last night,465,Did you get to see the meteor shower last night?,The meteor shower was incredible last night.,8,2,Did you get a chance to see the night sky last night?,The meteor shower was incredible last night.,8,2,The meteor shower was incredible last night.,3,low,10.0,7,medium,high,low,high,medium,high,3.0,2.2,15.8032075,15.8032075,15.8032075,8.0,low
ill let you know when i figure it out,470,can you figure out how to fix my computer?,I'll let you know when I figure it out!,6,2,I need help decoding this complex algorithm.,I'll let you know when I figure it out!,5,3,I'll let you know when I figure it out!,3,low,0.0,9,low,low,low,low,low,low,1.0,1.0,16.8923029,16.8923029,16.8923029,5.5,low
would you mind doing the following,472,Can you please book a flight for me to London?,Would you mind doing the following? Confirm my travel dates are correct: 24th Feb - 3rd Mar,8,2,Can you please pass me the salt during dinner?,Would you mind doing the following: passing me the salt during dinner?,10,1,Would you mind doing the following?,7,high,7.0,6,low,high,medium,low,low,low,1.8,2.0,-1.0,-1.0,-1.0,9.0,high
the socal meeting was very beneficial,475,How was your experience at the SoCal conference?,The SoCal meeting was very beneficial.,8,2,Have you gained valuable insights from the recent SoCal business conference?,The SoCal meeting was very beneficial.,8,2,The SoCal meeting was very beneficial.,2,low,8.0,6,medium,high,low,high,medium,high,3.0,2.2,15.658892899999998,15.658892899999998,15.658892899999998,8.0,low
we just need a sitter,482,Are you free to watch the kids tonight?,We just need a sitter.,8,1,I heard you're having a babysitter issue.,We just need a sitter.,8,1,We just need a sitter.,8,high,2.0,5,medium,low,low,low,low,medium,1.4,1.4,13.5456533,13.5456533,13.5456533,8.0,high
she just came,492,who just walked in?,She just came.,8,1,I see Susan's car in the driveway.,She just came.,10,2,She just came.,7,high,1.0,3,high,high,medium,low,high,low,1.8,2.8,12.24952,12.24952,12.24952,9.0,high
this is good i think,493,Did you try that new restaurant downtown?,This is good I think.,7,1,Have you tried the new Italian restaurant downtown?,This is good I think.,8,2,This is good I think.,9,high,2.0,5,low,medium,medium,low,low,low,1.4,1.6,12.6522464,12.6522464,12.6522464,7.5,high
it is not surprising,494,the new employee's skills and experience are quite surprising.,It is not surprising.,4,2,Did you hear about the new research on artificial intelligence?,It is not surprising.,5,3,It is not surprising.,7,high,2.0,4,low,low,low,medium,low,low,1.2,1.0,13.010001,13.010001,13.010001,4.5,high
can you get me the calger letter done,503,Can I get the Caltech letter done by tomorrow?,Can you get me the Calger letter done?,6,3,I need to submit the report by tomorrow,Can you get me the Calger letter done?,8,2,Can you get me the Calger letter done?,3,low,3.0,8,low,low,low,high,low,medium,1.8,1.0,18.1488285,18.1488285,18.1488285,7.0,low
money wise that is,514,are you free to grab lunch today?,money wise that is,7,2,Have you checked the latest stock market trends?,Money wise that is.,5,3,Money wise that is.,8,high,1.0,4,medium,high,medium,high,low,low,2.2,2.4,13.30183353,11.2304719,12.266152715,6.0,high
will let you know how call goes in morning,515,did you talk to the manager about my project?,Will let you know how call goes in morning.,4,2,I have an important business call in the morning.,Will let you know how call goes in morning.,8,2,Will let you know how call goes in morning.,3,low,1.0,9,low,medium,low,high,low,low,1.8,1.4,16.2778952,16.2778952,16.2778952,6.0,low
he is at 281 350 8441,516,where can I reach John?,He is at 281 350 8441.,8,1,I need to contact John urgently.,He is at 281 350 8441.,7,1,He is at 281 350 8441.,2,low,2.0,6,low,high,low,high,high,high,3.0,1.8,17.45877015,17.45877015,17.45877015,7.5,low
what is wrong,518,I'm feeling really down today and I don't know why,What is wrong?,8,1,I can't seem to access my account,What is wrong?,8,2,What is wrong?,10,high,1.0,3,low,low,low,high,low,medium,1.8,1.0,12.339479999999998,12.339479999999998,12.339479999999998,8.0,high
just got this,525,Have you received the package yet?,Just got this.,6,1,Did you receive the latest company report?,Just got this.,8,2,Just got this.,7,high,1.0,3,low,medium,medium,low,low,low,1.4,1.6,12.15231,12.15231,12.15231,7.0,high
weather is bad here,527,Is it raining outside?,Weather is bad here.,8,1,I hope you're not planning to go out today,Weather is bad here.,8,2,Weather is bad here.,7,high,1.0,4,medium,high,medium,high,low,medium,2.6,2.4,13.0520264,13.0520264,13.0520264,8.0,high
where are you,528,where are you meeting me for lunch?,Where are you?,8,2,I'm at the red traffic light near the city hall.,Where are you?,8,2,Where are you?,9,high,1.0,3,low,high,medium,high,low,medium,2.6,2.0,12.263939999999998,12.263939999999998,12.263939999999998,8.0,high
thanks good job,539,"I just finished that report, what do you think?",Thanks good job.,8,2,Your presentation was excellent.,Thanks good job.,10,1,Thanks good job.,8,high,0.0,3,low,medium,medium,high,low,low,1.8,1.6,12.883403,12.883403,12.883403,9.0,high
on my way back,544,"I'm waiting at the airport, how much longer until you arrive?",On my way back.,8,2,Have you finished the report on the Q1 sales?,On my way back.,8,2,On my way back.,8,high,0.0,4,low,low,low,high,low,medium,1.8,1.0,12.1616529,12.1616529,12.1616529,8.0,high
maybe you can leave early,547,"I'm running late for the meeting, can I make up some lost time?",Maybe you can leave early.,6,2,Your flight has been cancelled.,Maybe you can leave early.,3,1,Maybe you can leave early.,7,high,2.0,5,medium,medium,low,low,low,medium,1.8,1.8,13.6510536,13.6510536,13.6510536,4.5,high
why do you ask,551,why did my best friend move to another city?,Why do you ask?,8,2,"I see you've changed your phone number, why do you ask?",I actually just got a new number,8,2,Why do you ask?,8,high,0.0,4,low,high,low,low,low,medium,2.2,1.8,-1.0,13.06555353,13.06555353,8.0,high
quick updates spoke with larry lawyer at egm,553,Have we settled the legal dispute yet?,Quick updates: spoke with Larry lawyer at EGM.,6,3,Have you made any progress with the legal matter regarding the business merger?,Quick updates: spoke with Larry lawyer at EGM.,5,2,Quick updates: spoke with Larry lawyer at EGM.,3,low,3.0,8,low,high,medium,medium,low,low,2.0,2.0,18.2708761,18.2708761,18.2708761,5.5,low
i love you too,554,Will you be mine forever?,I love you too.,8,2,You look beautiful today,I love you too.,10,1,I love you too.,7,high,0.0,4,low,low,low,high,low,low,1.4,1.0,11.6777029,11.6777029,11.6777029,9.0,high
she has a web address,562,Who designed the World Wide Web?,She has a web address.,8,3,I found her contact details on the company's website.,She has a web address.,9,1,She has a web address.,7,high,2.0,5,low,low,medium,high,low,low,1.4,1.2,13.4406832,13.4406832,13.4406832,8.5,high
i was planning to attend,565,Will you be able to attend the meeting tomorrow?,I was planning to attend.,8,1,Are you coming to the book club meeting on Sunday?,I was planning to attend.,8,2,I was planning to attend.,8,high,2.0,5,medium,high,medium,low,high,medium,2.2,2.4,13.0028352,13.0028352,13.0028352,8.0,high
that would be great,566,Are you free for our meeting tomorrow?,That would be great.,8,1,Can we meet at the usual place tomorrow?,That would be great.,10,1,That would be great.,8,high,0.0,4,medium,high,medium,high,high,high,3.0,2.4,11.9438467,11.9438467,11.9438467,9.0,high
probably will be working,575,are you available for our meeting tomorrow?,Probably will be working.,4,2,Do you have plans for the upcoming company event?,Probably will be working,5,2,Probably will be working.,9,high,7.0,4,low,medium,medium,high,low,medium,2.2,1.6,12.6947471,13.70412,13.19943355,4.5,high
what is the cost issue,577,can you order me the new iPhone 13?,What is the cost issue?,6,3,"The price of the new iPhone model is quite high, don't you think?",What is the cost issue?,8,2,What is the cost issue?,8,high,2.0,5,medium,medium,medium,low,low,low,1.4,2.0,12.6974176,12.6974176,12.6974176,7.0,high
what a jerk,581,Why did you leave your dirty socks on the kitchen counter?,What a jerk.,6,2,Why would you do something so thoughtless?,What a jerk.,5,2,What a jerk.,8,high,1.0,3,medium,low,low,high,low,low,1.4,1.4,12.703728299999998,12.703728299999998,12.703728299999998,5.5,high
heres my work email kaymannenroncom,583,can you send me the quarterly earnings report?,Here's my work email (kay.mann@enron.com).,5,3,I noticed you mentioned Enron in our last meeting. Could you please provide your work email?,Here's my work email (kay.mann@enron.com).,8,2,Here's my work email (kay.mann@enron.com).,2,low,8.0,5,low,medium,low,high,low,low,1.8,1.4,24.0943185,24.0943185,24.0943185,6.5,low
is that enough for this week,584,can you prioritize the tasks for our project?,Is that enough for this week?,6,1,I have scheduled 10 meetings for you this week.,Is that enough for this week?,8,2,Is that enough for this week?,7,high,0.0,6,medium,medium,medium,high,high,low,1.8,2.0,13.3981329,13.3981329,13.3981329,7.0,high
sorry but im hostage in meeting in 39c1,595,are you free to grab lunch today?,Sorry but I'm hostage in meeting room 39c1.,8,3,Have you finished preparing the report for the board meeting?,Sorry but I'm hostage in meeting in 39c1.,0,3,Sorry but I'm hostage in meeting in 39c1.,3,low,3.0,8,low,low,low,low,low,low,1.0,1.0,19.0714388,-1.0,19.0714388,4.0,low
issue on post bankruptcy price risk issue remains,602,Have you reviewed the post-bankruptcy financial reports?,Issue on post bankruptcy price risk issue remains.,6,3,Have you resolved the dispute regarding the post-bankruptcy pricing adjustments?,Issue on post bankruptcy price risk issue remains.,5,3,Issue on post bankruptcy price risk issue remains.,2,low,8.0,8,medium,low,low,high,low,low,1.4,1.4,17.3790893,17.3790893,17.3790893,5.5,low
what enron entity owns the eott gp,613,What is the primary generator that produces electricity from natural gas in North America?,What Enron entity owns the EOTT GP?,8,3,Do you know which Enron entity manages the EOTT investments?,What Enron entity owns the EOTT GP?,5,2,What Enron entity owns the EOTT GP?,2,low,4.0,7,low,medium,medium,high,low,low,1.8,1.6,19.87278575,19.87278575,19.87278575,6.5,low
i will be back friday,621,Are you attending the team meeting on Friday?,I will be back Friday.,8,1,Do you have plans for next week?,I will be back Friday.,8,2,I will be back Friday.,8,high,2.0,5,low,medium,low,high,low,low,1.8,1.4,12.0424933,12.0424933,12.0424933,8.0,high
two days when,624,When will we meet again?,Two days when?,8,2,I'll be free to meet next week on Monday or Thursday.,Two days when?,10,2,Two days when?,10,high,1.0,3,low,high,medium,high,low,low,2.2,2.0,13.6802,13.6802,13.6802,9.0,high
its not working very well,629,can you hear me now?,it's not working very well.,5,1,Have you tried updating the app recently?,It's not working very well.,7,2,It's not working very well.,7,high,3.0,5,medium,medium,medium,low,low,low,1.4,2.0,13.0848368,12.3709068,12.727871799999999,6.0,high
let him pursue his claims with everyone else,632,Have you ever encountered someone with an unproven claim?,Let him pursue his claims with everyone else.,6,2,He insists that he is the rightful heir to the throne.,Let him pursue his claims with everyone else.,5,2,Let him pursue his claims with everyone else.,3,low,4.0,8,medium,high,medium,low,low,medium,2.2,2.4,16.0696825,16.0696825,16.0696825,5.5,low
if not can i call you,636,Are you free to meet up tomorrow?,If not can I call you?,8,2,"I've lost my way, can you give me directions?","If not, can I call you?",8,1,If not can I call you?,9,high,0.0,6,low,high,low,high,low,low,2.2,1.8,14.0774959,13.2614045,13.6694502,8.0,high
we are still in palacios having a quiet am,637,Where are we having lunch today?,"We are still in Palacios, having a quiet AM.",8,2,Did you receive the email about our plans for this weekend?,"We are still in Palacios, having a quiet AM.",5,2,"We are still in Palacios, having a quiet AM.",3,low,4.0,9,low,low,low,low,low,medium,1.4,1.0,17.45854,17.45854,17.45854,6.5,low
no to both,638,am i going to the concert tonight?,No to both.,6,2,Do you have the latest version of our project proposal?,No to both.,0,3,No to both.,8,high,1.0,3,medium,low,low,low,low,low,1.0,1.4,11.4660445,11.4660445,11.4660445,3.0,high
i also just received my blackberry cool,643,"I just got my new smartphone, what do you think?","I also just received my Blackberry, cool.",6,2,Have you received your new work phone yet?,"I also just received my Blackberry, cool.",8,2,"I also just received my Blackberry, cool.",3,low,6.0,7,low,medium,medium,high,low,medium,2.2,1.6,16.507189,16.507189,16.507189,7.0,low
i will likely not be available,647,can you make it to my birthday party tomorrow?,I will likely not be available.,6,2,Do you have time for a quick call tonight?,I will likely not be available.,7,2,I will likely not be available.,7,high,2.0,6,medium,low,low,high,medium,medium,1.8,1.4,13.5736351,13.5736351,13.5736351,6.5,high
im on 6,648,What's the best way to get there?,I'm on 6.,8,2,"Meet me at the usual spot, what number should I dial?",I'm on 6.,10,2,I'm on 6.,7,high,1.0,3,low,low,medium,high,low,low,1.4,1.2,12.8992,12.8992,12.8992,9.0,high
ill meet you at bill sperrys office at 1230,650,Where are we meeting for the project discussion today?,I'll meet you at Bill Sperry's office at 12:30.,8,1,Let's discuss the Bill Sperry project proposals at his office today.,I'll meet you at Bill Sperry's office at 12:30.,8,2,I'll meet you at Bill Sperry's office at 12:30.,3,low,4.0,9,low,high,high,high,high,high,3.0,2.2,19.94385315,19.94385315,19.94385315,8.0,low
both of us are still here,659,are you still in the meeting?,Both of us are still here.,8,2,Have you received my email about the meeting tomorrow?,Both of us are still here.,10,2,Both of us are still here.,8,high,0.0,6,low,high,low,high,low,medium,2.6,1.8,12.917246,12.917246,12.917246,9.0,high
not even in yet,662,are you even watching the game?,Not even in yet.,8,1,Have you started the new project at work?,Not even in yet.,6,2,Not even in yet.,8,high,0.0,4,low,medium,medium,low,low,low,1.4,1.6,11.60951923,11.60951923,11.60951923,7.0,high
see you then,664,Can I see you at 5 pm today?,See you then,8,1,"I'll bring the chips for our movie night, right?",See you then.,10,1,See you then,7,high,1.0,3,low,high,medium,low,low,medium,2.2,2.0,12.504033,10.9834615,11.74374725,9.0,high
see you then,664,Can I see you at 5 pm today?,See you then,8,1,"I'll bring the chips for our movie night, right?",See you then.,10,1,See you then,7,high,1.0,3,low,high,medium,low,low,medium,2.2,2.0,12.504033,12.504033,12.504033,9.0,high
any interest in chatting about a job at ubs,670,How's the job market in Zurich?,Any interest in chatting about a job at UBS?,8,2,I heard UBS is hiring for new positions,Any interest in chatting about a job at UBS?,8,2,Any interest in chatting about a job at UBS?,3,low,4.0,9,medium,high,medium,high,high,low,2.2,2.4,17.4894699,17.4894699,17.4894699,8.0,low
how soon do you need it,674,can you send me the updated project report by tomorrow?,How soon do you need it?,8,1,I need the report completed for the board meeting tomorrow.,How soon do you need it?,10,2,How soon do you need it?,8,high,0.0,6,low,medium,medium,high,high,high,2.6,1.6,13.68838877,13.68838877,13.68838877,9.0,high
how are things with you,675,I'm stuck in traffic and I'm going to be late for work,How are things with you?,8,2,I've just received great news from my doctor,How are things with you?,10,2,How are things with you?,7,high,0.0,5,low,medium,medium,high,low,low,1.8,1.6,12.6786426,12.6786426,12.6786426,9.0,high
i left a message,681,did you record the meeting?,I left a message.,6,1,Have you finished preparing the report for tomorrow's meeting?,I left a message.,8,2,I left a message.,7,high,1.0,4,low,low,low,low,low,low,1.0,1.0,12.2279738,12.2279738,12.2279738,7.0,high
i am not aware of any,684,is the new moon visible in the city tonight?,I am not aware of any.,5,1,Have you received the latest company financial report?,I am not aware of any.,3,2,I am not aware of any.,7,high,2.0,6,medium,low,low,low,medium,low,1.0,1.4,13.5151904,13.5151904,13.5151904,4.0,high
perhaps there was a glitch,686,did the conference registration system fail again today?,Perhaps there was a glitch.,8,2,The stock market numbers seem odd today.,Perhaps there was a glitch.,7,2,Perhaps there was a glitch.,7,high,2.0,5,medium,low,low,high,medium,high,2.2,1.4,13.5946132,13.5946132,13.5946132,7.5,high
we havent sold the us business as yet,694,are we prepared to list the US subsidiary?,We haven't sold the US business as yet.,8,2,Have you made any decisions about the US division's future?,We haven't sold the US business as yet.,8,2,We haven't sold the US business as yet.,2,low,1.0,8,low,low,low,medium,medium,medium,1.6,1.0,16.1990488,16.1990488,16.1990488,8.0,low
we need to talk about this month,704,why are my credit card payments overdue?,We need to talk about this month.,8,2,You haven't paid rent this month.,We need to talk about this month.,8,2,We need to talk about this month.,9,high,0.0,7,medium,medium,low,high,low,medium,2.2,1.8,13.5930365,13.5930365,13.5930365,8.0,high
how is it going,705,how's your flight to London going?,How is it going?,6,2,I've completed the project you assigned me last week,How is it going?,8,2,How is it going?,7,high,1.0,4,low,identical,high,high,low,low,1.4,1.4,12.6433453,12.6433453,12.6433453,7.0,high
what about jay,708,Did you know that the new employee is not getting along with the team?,What about Jay?,8,2,Susan mentioned she saw Jay at the park yesterday.,What about Jay?,8,2,What about Jay?,9,high,1.0,3,low,low,medium,high,low,low,1.4,1.2,13.4345015,13.4345015,13.4345015,8.0,high
i tried that to no avail,709,"I'm struggling to fix my computer, have you tried troubleshooting the BIOS?",I tried that to no avail.,6,1,Have you tried restarting your computer?,I tried that to no avail.,8,2,I tried that to no avail.,7,high,-2.0,6,low,low,low,medium,medium,medium,1.6,1.0,13.1863962,13.1863962,13.1863962,7.0,high
thats not the behavior that i was looking for,710,I'm frustrated with the new employee's lack of communication skills,That's not the behavior that I was looking for.,6,2,I promised to help you move next Saturday,That's not the behavior that I was looking for.,8,2,That's not the behavior that I was looking for.,1,low,5.0,9,low,high,low,low,low,medium,2.2,1.8,16.3659283,16.3659283,16.3659283,7.0,low
im quite interested as i told lyn,712,What are your plans for the weekend?,I'm quite interested as I told Lyn.,4,2,Have you heard about the latest research in quantum physics?,I'm quite interested as I told Lyn.,5,3,I'm quite interested as I told Lyn.,3,low,4.0,7,low,low,medium,high,low,low,1.4,1.2,17.4909,17.4909,17.4909,4.5,low
neil has been asking around,718,What's the latest rumour about Neil Armstrong?,Neil has been asking around.,6,2,Have you heard who won the Nobel Prize in Chemistry this year?,Neil has been asking around.,5,2,Neil has been asking around.,8,high,2.0,5,low,low,low,high,low,medium,1.8,1.0,13.4428533,13.4428533,13.4428533,5.5,high
we are having fun,719,Are we having the best day ever?,We are having fun.,8,1,Let's make some popcorn and watch a movie.,We are having fun.,10,2,We are having fun.,7,high,1.0,4,low,medium,medium,low,low,medium,1.8,1.6,12.4352967,12.4352967,12.4352967,9.0,high
not a problem,730,can you help me find the nearest pharmacy?,Not a problem.,8,2,Can you bring the milk from the store on your way home?,Not a problem.,8,1,Not a problem.,7,high,1.0,3,medium,low,low,high,high,medium,1.8,1.4,12.0651395,12.0651395,12.0651395,8.0,high
call me tonight 7139736325,732,Are you free to grab dinner tonight?,Call me tonight 7139736325.,8,2,"I've found an old number in my contacts, do you know who it belongs to?",Call me tonight 7139736325.,8,2,Call me tonight 7139736325.,0,low,0.0,4,low,high,low,high,low,low,2.2,1.8,19.7346322,19.7346322,19.7346322,8.0,low
maybe michael will go to quil tomorrow,733,Is Michael going to Quil tomorrow?,Maybe Michael will go to Quil tomorrow.,6,3,Do you think Quil's workshop might be held on Thursday instead of Wednesday?,Maybe Michael will go to Quil tomorrow.,6,1,Maybe Michael will go to Quil tomorrow.,2,low,3.0,7,low,high,medium,medium,low,medium,2.4,2.0,16.6873252,16.6873252,16.6873252,6.0,low
we sold the uk business to aep,738,Did we finally complete the AEP deal?,We sold the UK business to AEP.,8,2,I heard rumors of a major business deal. What's the latest?,We sold the UK business to AEP.,8,2,We sold the UK business to AEP.,3,low,0.0,7,low,high,low,high,medium,low,2.2,1.8,16.66211415,16.66211415,16.66211415,8.0,low
the master agreement references the trading business,739,What are the key terms for our international trade agreement?,The master agreement references the trading business.,8,2,Have you reviewed the terms of the new business contract?,The master agreement references the trading business.,8,2,The master agreement references the trading business.,3,low,10.0,7,low,high,medium,high,low,medium,2.6,2.0,15.667342899999998,15.667342899999998,15.667342899999998,8.0,low
go to 16,755,where did you leave the car keys?,Go to 16.,8,3,"I've lost my way in this maze of streets, can you help?",Go to 16.,5,2,Go to 16.,7,high,1.0,3,medium,medium,low,high,low,low,1.8,1.8,11.5539315,11.5539315,11.5539315,6.5,high
good for you,763,I just got accepted into my dream college!,Good for you.,6,2,You finally got promoted!,Good for you.,10,1,Good for you.,9,high,1.0,3,low,low,low,high,low,low,1.4,1.0,11.2502115,11.2502115,11.2502115,8.0,high
board meeting running long,767,How's the board meeting going?,Board meeting running long.,6,1,Have you finished preparing the financial reports for next quarter?,Board meeting running long.,3,2,Board meeting running long.,9,high,0.0,4,low,low,low,medium,low,medium,1.6,1.0,13.611493,13.611493,13.611493,4.5,high
have a great day,768,I'm so excited for my summer vacation tomorrow!,Have a great day!,9,1,I appreciate your help with my project,Have a great day!,10,1,Have a great day!,7,high,0.0,4,low,low,low,high,low,low,1.4,1.0,13.4443045,13.4443045,13.4443045,9.5,high
how are things,780,How was your weekend?,How are things?,8,1,I've just received great news from my doctor.,How are things?,8,2,How are things?,7,high,1.0,3,low,medium,medium,high,low,medium,2.2,1.6,13.220676,13.220676,13.220676,8.0,high
meeting with alaska governor tony knowles on november 30th,787,Are you attending the upcoming conference?,Meeting with Alaska Governor Tony Knowles on November 30th.,4,3,Have you arranged any meetings with notable political figures in the near future?,Meeting with Alaska Governor Tony Knowles on November 30th.,5,2,Meeting with Alaska Governor Tony Knowles on November 30th.,0,low,8.0,9,medium,high,medium,high,high,low,2.2,2.4,18.7488595,18.7488595,18.7488595,4.5,low
coal switching to ng and power guys stimulating demand,790,Will the US Energy Transition be driven by coal or natural gas?,Coal switching to NG and power guys stimulating demand.,6,2,Have you heard about the shift from coal to natural gas in the power sector?,Coal switching to NG and power guys stimulating demand.,3,2,Coal switching to NG and power guys stimulating demand.,3,low,8.0,9,medium,high,high,low,low,low,1.8,2.6,19.0378052,19.0378052,19.0378052,4.5,low
have a happy thanksgiving,792,What are your plans for Thanksgiving dinner?,Have a Happy Thanksgiving.,8,1,Let's talk about your favorite Thanksgiving dish,Have a Happy Thanksgiving.,10,2,Have a Happy Thanksgiving.,3,low,2.0,4,low,low,low,low,low,low,1.0,1.0,15.7803552,15.7803552,15.7803552,9.0,low
we will keep you posted,793,When will the new product launch?,We will keep you posted.,8,1,Have you made a decision about the new project yet?,We will keep you posted.,8,2,We will keep you posted.,8,high,0.0,5,low,low,low,low,low,low,1.0,1.0,13.4514967,13.4514967,13.4514967,8.0,high
no surprise there,796,the boss's favourite coffee shop has been closed due to health issues.,No surprise there.,8,2,John always forgets important deadlines.,No surprise there.,8,2,No surprise there.,8,high,1.0,3,medium,low,low,low,low,low,1.0,1.4,13.4287245,13.4287245,13.4287245,8.0,high
if not i can try information in omaha,799,Can you find the information I need in the Omaha records?,"If not, I can try information in Omaha.",8,2,I need the latest stock prices for Omaha's leading tech companies.,"If not, I can try information in Omaha.",8,2,"If not, I can try information in Omaha.",2,low,8.0,8,low,high,low,high,low,medium,2.6,1.8,16.5012437,16.5012437,16.5012437,8.0,low
it went well,801,Did you attend the meeting yesterday?,It went well.,6,2,Did the interview go smoothly?,It went well.,8,2,It went well.,7,high,1.0,3,low,medium,medium,high,medium,low,1.8,1.6,11.3948697,11.3948697,11.3948697,7.0,high
we are sitting in weils offices waiting to negotiate,802,Can we finalize the merger talks today?,"We are sitting in Weil's offices, waiting to negotiate.",5,2,Let's meet at Weil's offices to discuss the deal terms.,"We are sitting in Weil's offices, waiting to negotiate.",9,1,"We are sitting in Weil's offices, waiting to negotiate.",2,low,8.0,9,low,high,high,high,high,low,2.2,2.2,19.55507685,19.55507685,19.55507685,7.0,low
